Madman OG
=============
lyddybug,https://www.leafly.com/hybrid/madman-og/reviews/1414152,"“I GOT A VOLCANO BITCHES!!!! AND MADMAN IS GOOOOOD!! 
Indica3,https://www.leafly.com/hybrid/madman-og/reviews/1423273,"“As an Indica lover and connisuere of OG Kush crosses and Phenotypes I have come across and grow quite a few. This one is really really physical and body relaxing just what I need help with eating, SLEEPING, pain and stress. This is a great strain for actually getting the indica power to knock out what ails you and still able to function, I mostly smoke Indicas because of my crazy anxiety, Sativas like ghost train haz...”"
MrCrohns,https://www.leafly.com/hybrid/madman-og/reviews/1508924,"“Nice body euphoria and mental effects.  Very strong appetite stimulation which I don't like, but might be useful for some.  LA Confidential is an odd strain for me and seems like a strange choice to cross with OG Kush.”"
moemann24,https://www.leafly.com/hybrid/madman-og/reviews/1334824,"“I came home from a long stressful day at work and smoke some madman. My stress was relieved instantly.👍🏾”"
skywalkaflaka,https://www.leafly.com/hybrid/madman-og/reviews/1364082,"“Has a very earthy, diesel, gonna-make-you-pass-out type of smell. With a nice mix of light green buds and dark green, sometimes purple leaf-remnants. Very potent, and tastes like diesel the most but otherwise is exactly like the smell.”"
forest44,https://www.leafly.com/hybrid/madman-og/reviews/1412671,"“This is my new favorite,  I purchased a top shelf 8th of this and this strain is deffinetly a good relaxing strain,  good solid relaxing high.  I felt a bit of euphoria as well.  Good strain for anxiety or to distress and wind down.”"
outeryou,https://www.leafly.com/hybrid/madman-og/reviews/1603118,"“This is my first time trying this strain. I normally get Blue Dream. Mmo is a Super nice hybrid, i would say, 50/50. Comparable to Bd in effects. I.E. motivating, ready to work, or do something productive/creative. Stimulates my motor functions to get up and move. Ill-effects may include some slight anxious and/or paranoid feeling, nothing to heavy, very minimal but it can be their  :):):)”"
forest44,https://www.leafly.com/hybrid/madman-og/reviews/1412671,"“This is my new favorite,  I purchased a top shelf 8th of this and this strain is deffinetly a good relaxing strain,  good solid relaxing high.  I felt a bit of euphoria as well.  Good strain for anxiety or to distress and wind down.”"
MrCrohns,https://www.leafly.com/hybrid/madman-og/reviews/1508924,"“Nice body euphoria and mental effects.  Very strong appetite stimulation which I don't like, but might be useful for some.  LA Confidential is an odd strain for me and seems like a strange choice to cross with OG Kush.”"
Marleeman,https://www.leafly.com/hybrid/madman-og/reviews/1333235,"“This wonderful strain, helps me sleep and relaxes my muscles”"
1kushking,https://www.leafly.com/hybrid/madman-og/reviews/1620323,"“This Indica dominate strain takes all the things in life that cause you to become a "madman" and puts them on the back burner for a couple of hours. The THC level was 20% & right after smoking i became happy & euphoric  followed by the wonderful body high which can lead to sleep. Buds were green with orange pistils & a light cover of trichomes over the dense buds. Taste & smell was piney, woody, & earthy to me. LA Co...”"
ChemicalGeorge,https://www.leafly.com/hybrid/madman-og/reviews/1627354,"“This strain is DANK. Apart from it being dank this strain is so SMOOOOOTH. I took big hits from this one and I barely coughed at all! But man, don't plan on doing anything to productive after this strain, because you're going to want to get ready to take a nap! I warned you.”"
Stringup,https://www.leafly.com/hybrid/madman-og/reviews/1681776,"“Clean flavorful hits, super potent buds that instantly transform you into a relaxed and calm state.. if youre sharing with a friend expect alot of giggles and good times but be careful....a big spliff is gonna take you straight to dreamland before you know it.”"
landonii24,https://www.leafly.com/hybrid/madman-og/reviews/1631290,"“Gets me feelin right at night”"
wade0435,https://www.leafly.com/hybrid/madman-og/reviews/1784119,"“This strain didn't agree with me. It was supposed to be relaxing and euphoric. That didn't happen with me. It was more of an electric/tense feeling.”"
Uhhhhiforgot,https://www.leafly.com/hybrid/madman-og/reviews/1760096,"“Very good strain, must try for any indica lovers. Just wanted to lay down and chill, that stick kind of high. Definitely for if you have nothing to do”"
AkaTeddd,https://www.leafly.com/hybrid/madman-og/reviews/1303292,"“If your a fan of OG & Confidential this your strain.Brew up some coffee and this goes just right! have not seen since compassion club day's.Love Madman huge fan ! Coffee like taste similar to Pre-98 bubba.
AZ grower's grow her and they will come in flock's like sheep!”"
chiefnugs420,https://www.leafly.com/hybrid/madman-og/reviews/1260137,"“"A smooth Coffee Flavors give way to our earthy undertones, with a fresh Pine scent" is a perfect description of this strain. 5 stars. This strain is on point. Thanks Ocean Grown Genetics!”"
OGcrow,https://www.leafly.com/hybrid/madman-og/reviews/1411269,"“Great relaxer!”"
abster323,https://www.leafly.com/hybrid/madman-og/reviews/1347394,"“This was actually my first ever strain to try while getting into medicating in this form. It took a few minutes to hit in, and about 10 minutes to fully take effect ...so go little by little hah. Everything went sloooooow, I could only focus on the chirping of birds and the wind blowing by. I was so relaxed and on a beautiful high... I fell asleep after about 20 minutes.. for a couple hours. Awesome.”"
LMCmissy,https://www.leafly.com/hybrid/madman-og/reviews/1255438,"“Didn't get to try the flowers version , but had a nice slab of some shatter that taste was phenomenal at low temps!! Big plus was also the just laid back "hey let's watch Up In Smoke" moment! Great strain !”"
fucckenlizzz,https://www.leafly.com/hybrid/madman-og/reviews/1373200,"“heavy body high
night strain
chill mode”"
jorgecontreras,https://www.leafly.com/hybrid/madman-og/reviews/1353502,"“Tasty strain has an earthy coffee taste . Wakes you up”"
VividChaos,https://www.leafly.com/hybrid/madman-og/reviews/1374519,"“Very great strain. I'm always skeptical when they say a strain kills pain, but this one delivers. it's kind of sedating without the couch lock. it's going to leave you tingly and enjoying your night.”"
agkush89,https://www.leafly.com/hybrid/madman-og/reviews/1474010,"“Loved it. Super mellow but very uplifting and vibes well with music. Nothing magical, but very relaxing and no paranoia!”"
Jbluntzthestoneygenius,https://www.leafly.com/hybrid/madman-og/reviews/1490453,"“Relaxed feeling and great smell!!!”"
newby777,https://www.leafly.com/hybrid/madman-og/reviews/1328471,"“So far so good not too strong very relaxing helps me a lot with my sleep. No paranoia whatsoever.”"
pizzanick1,https://www.leafly.com/hybrid/madman-og/reviews/1332180,"“it's good find fun and I had a boner for two hours (:”"
danksanic,https://www.leafly.com/hybrid/madman-og/reviews/1390861,"“Meh, very mild strain”"
TrapperT,https://www.leafly.com/hybrid/madman-og/reviews/1364775,"“This that death penalty Weed this that shit you smoke after shoot a cop Mad Man OG🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥”"
stoker56,https://www.leafly.com/hybrid/madman-og/reviews/1330251,"“Good body high mad me laugh and tired me out good for sleep and just kicking it back”"
