Hog's Breath
=============
MarijuaNaut,https://www.leafly.com/indica/hogs-breath/reviews/1398895,"“I'll give this stuff somewhere between an 8.5 and a 9. 

When I heard we were picking some up two days ago, my initial reaction was a mix between curiosity and skepticism. I had never heard of 'Hog's Breath' before, and I didn't really get a, "Wow, that sounds awesome!", sensation from the name. Nonetheless, when it arrived, we loaded up the standard glass pipes, smoked a good three or four hits....and, slowly real...”"
strain0phile,https://www.leafly.com/indica/hogs-breath/reviews/1183551,"“I 1st saw it from a distance laying on the table, and it honestly looked like a closet grown mishap. But upon closer inspection under a LED light, I was pleasantly surprised by the super dense tric coverage & the smattering of purple poka-dots. From the nugs I mainly got earthy/soily tones w/ touches of sweet citrus. However, once ground up the sweetness & citrusy flavored really jumped out at me. 

It's got a nice &...”"
icenitribe,https://www.leafly.com/indica/hogs-breath/reviews/1179006,"“This is actually a review for "the Hog" which is a southern staple strain,it's an Indica in effect mostly but its cerebral enough to bring doubts about marriage to your 2nd cousin .”"
whatupmyglipglops,https://www.leafly.com/indica/hogs-breath/reviews/1266230,"“Sativa side felt very strong. A little sure went a long way. Got a little too high the first time just from a bowl. Backed off the next time it was pretty incredible. Felt like the hair on my head was standing straight up. Took care of a bad tension headache. A must try. Maybe a bit too much for the likes of me, though.”"
Burnie93,https://www.leafly.com/indica/hogs-breath/reviews/1398987,"“smoking one bowl now and I'm super stoned. I smoke a lot of weed. lately been smoking platinum Girl Scout cookies and OG Kush but I mixed it up and got an indica today and I must say this high is relaxing and for winding down. OG Kush is for wake n bake. enuf said Hogs breath is one good strain. I'm ready for a movie bowl of ice cream and cloud 9.”"
itsBlackMorris,https://www.leafly.com/indica/hogs-breath/reviews/1398973,"“I love this strain. A lot of people don't care for it and that's understandable. Its has a peculiar stench and is definitely an acquired taste. Sweet, musky, and porky.  You will reek of it after you smoke. Don't get in a car with someone without breath mints. I do however find it to be a very energetic and creative high. Good for working on artsy projects in the daytime.  It'd be nice at a barbecue ironically. It ma...”"
ferrarihigh,https://www.leafly.com/indica/hogs-breath/reviews/1398992,"“INCREDIBLE! In my top 2. This  is 4 person  review.  This batch of hogs... hard hitting long lasting,  I did find it to be medium in causing coughing. Smell OK taste better.
A++++ to the makers of this batch”"
strain0phile,https://www.leafly.com/indica/hogs-breath/reviews/1183551,"“I 1st saw it from a distance laying on the table, and it honestly looked like a closet grown mishap. But upon closer inspection under a LED light, I was pleasantly surprised by the super dense tric coverage & the smattering of purple poka-dots. From the nugs I mainly got earthy/soily tones w/ touches of sweet citrus. However, once ground up the sweetness & citrusy flavored really jumped out at me. 

It's got a nice &...”"
Davidpnin,https://www.leafly.com/indica/hogs-breath/reviews/1768313,"“The forumla is simple: a few hits = heaven (happy, upbeat, chatty and numb) too much + on and off anxiety/paranoia in waves. 

I'm rocking out to music and thinking of sex and stuff to happily ride it out.

Highly recommend for a strong, fun high!  

I got bit by a squirrel on it earlier and I handled it well - it made me realize how much dumb shit happens when you're high.  It made me realize how absurd, funny and a...”"
hlpsptsd1,https://www.leafly.com/indica/hogs-breath/reviews/1270568,"“Absolutely outstanding! Sativa in indica clothing. 
Great energy, euphoria, upbeat and focused.
Relaxed. No paranoia. Worst effect dry mouth. My tongue is stuck to my cheek. Feel like Jim Carey in me myself and irene. lol!”"
Kmad55,https://www.leafly.com/indica/hogs-breath/reviews/1398983,"“Dense green crystalized buds.. Potent”"
hlpsptsd1,https://www.leafly.com/indica/hogs-breath/reviews/1270568,"“Absolutely outstanding! Sativa in indica clothing. 
Great energy, euphoria, upbeat and focused.
Relaxed. No paranoia. Worst effect dry mouth. My tongue is stuck to my cheek. Feel like Jim Carey in me myself and irene. lol!”"
DarlesCharwin,https://www.leafly.com/indica/hogs-breath/reviews/1398993,"“The listed effects are spot on.  Despite being an indica, I was able to smoke this and walk around downtown denver without feeling hindered mentally or physically.  Bought this strain in AZ, and it exceeded the recreational purchases I made in Denver, quality wise.”"
ferrarihigh,https://www.leafly.com/indica/hogs-breath/reviews/1398992,"“INCREDIBLE! In my top 2. This  is 4 person  review.  This batch of hogs... hard hitting long lasting,  I did find it to be medium in causing coughing. Smell OK taste better.
A++++ to the makers of this batch”"
doc_lopez,https://www.leafly.com/indica/hogs-breath/reviews/1070426,"“i myself was not to in pressed with this! every where i go to it is missed labeled an i can understand why? it's an indica an I'm a heavy indica smoker but to me it does feel like a hybrid an maybe even a sativa at times? an for that reason I'm not a fan”"
DollaD,https://www.leafly.com/indica/hogs-breath/reviews/1334360,"“was genuinely surprised. got this on a special for 5 a gram. thought I'd only use it as filler to mix w blueberry tangy. ended up being my favorite of the 2. I'd medicate with this again”"
lilhanzo,https://www.leafly.com/indica/hogs-breath/reviews/1398991,"“When it says dry eyes it doesn't lie I put in 7 eye drops per eye. Loud shit tho just picked up a zip myself”"
ondacouch1,https://www.leafly.com/indica/hogs-breath/reviews/1398979,"“Nice strong body effects. Relaxing, calming, not too severe cerebral effects. This is my favorite strain right now.”"
mmicheleb,https://www.leafly.com/indica/hogs-breath/reviews/1398982,"“Love this strain, especially after a long days work and relaxing at home. The only downfall is the bad breath after, but you kinda know what your getting yourself into once you read the name of the strain. Definitely recommend!”"
chrisdemarco40,https://www.leafly.com/indica/hogs-breath/reviews/1388478,"“Good shit!!! The wax produced from this strain is strait FIRE!!”"
Anonymous,https://www.leafly.com/indica/hogs-breath/reviews/1070411,"“Add to my list of favs. It was great. Smell, taste, I loved it. Hope to get more today. It's like Homer Simpson and Duff beer..... I sit and think "mmmm Hog's Breath."”"
crhoppi,https://www.leafly.com/indica/hogs-breath/reviews/1135157,"“Hogs Breath i got i don't think is an indica. definitely not.”"
Burnie93,https://www.leafly.com/indica/hogs-breath/reviews/1270567,"“very relaxing. for winding down and takin the edge off better than any drink has ever made me feel. love it time for ice cream movie and relaxation with the kids. man smoking with my son's is great bonding”"
jazzness7,https://www.leafly.com/indica/hogs-breath/reviews/1398996,"“When properly extracted it smells and tastes like berries! Such a great muscle and mind relaxant, but flower smoke does smell more sour than most, if you can get past that then you've got a great medicinal strain.”"
blainefoz,https://www.leafly.com/indica/hogs-breath/reviews/1398980,"“Really amazing high! kreps me motivated and brings energy. Its forsure not your normal indica”"
WeRBestBudz,https://www.leafly.com/indica/hogs-breath/reviews/1398994,"“Woooooooo definitely an indica. Went in before knowing the strain name. Extreme couchlock, full body relaxation but, I do feel a little dizzy which is not common to me.”"
tshirtvictim,https://www.leafly.com/indica/hogs-breath/reviews/1162998,"“Extremely dense, darker greens and oranges than most strains. Definite hints of purple with medium-heavy thrichroming on the outside. Some citrus hints, fairly non-aromatic, however but when it's broken down the citrus flavor bursts from where-ever it's been hiding with some pine notes and something that reminds me of breakfast.

Hog grinds down a little bit dusty and dry but maintains a fairly nice texture. Though...”"
udamashi,https://www.leafly.com/indica/hogs-breath/reviews/1181892,"“it was very stronge pungy smell n.alot of crystals”"
hcazrellim,https://www.leafly.com/indica/hogs-breath/reviews/1398977,"“I passed around three fat blunts and at the end of the night I am here on tumblr listening to 9 hours of Night Sounds of Forest Peepers and eating a bowl of Progressive chicken noodle soup.”"
surfingramps,https://www.leafly.com/indica/hogs-breath/reviews/1321504,"“Had a great 3 month run with this potent winner back in 2004, been searching for it ever since. I think it's more prevalent on the west coast  (I was living in San Diego at the time) but here in Michigan all I get is baffled looks when I inquire. I remember feeling tippsy, kinda like I had been drinking. Great mind expander, made me deep think...”"
CodyIzMe,https://www.leafly.com/indica/hogs-breath/reviews/1310576,"“this strain may be better at other places,or times. the particular batch my local dispensary got only tested a 8% thc. although it was pretty in color it lacked trichomes n the potency just was not where it should be. a good mellow strain for beginner smokers”"
PrincessProse,https://www.leafly.com/indica/hogs-breath/reviews/1398990,"“This helps to relax my tense, injured muscles. 
It's earthy & light; Smells kind of like when you peel bark off a fallen tree. 
Very tasty, very relaxing, potent.”"
apps,https://www.leafly.com/indica/hogs-breath/reviews/1193672,"“We have the Limited Edition* HAWG'S BREATH*. It smells very much like autumn. Gives you a ciniamon woodsy smell. Amazing flowers and intrense flavors. Nice density and good color with orange hairs. Has another great smell as you rip into it. Smoking it through the glass gives you an amazing taste of euphoria. Glad to have this for our members. Please come check it out...”"
Fancyclowns,https://www.leafly.com/indica/hogs-breath/reviews/1398978,"“Using this right now fam. Really nice. Deep relaxation & sorta clear. Definitely feels like a hybrid. I'm glad I found this. 👌🐉”"
ondacouch1,https://www.leafly.com/indica/hogs-breath/reviews/1398979,"“Nice strong body effects. Relaxing, calming, not too severe cerebral effects. This is my favorite strain right now.”"
lilhanzo,https://www.leafly.com/indica/hogs-breath/reviews/1398991,"“When it says dry eyes it doesn't lie I put in 7 eye drops per eye. Loud shit tho just picked up a zip myself”"
hlpsptsd1,https://www.leafly.com/indica/hogs-breath/reviews/1270568,"“Absolutely outstanding! Sativa in indica clothing. 
Great energy, euphoria, upbeat and focused.
Relaxed. No paranoia. Worst effect dry mouth. My tongue is stuck to my cheek. Feel like Jim Carey in me myself and irene. lol!”"
JoePes,https://www.leafly.com/indica/hogs-breath/reviews/1242951,"“well it's better than brick weed.  I couldn't get past the flavor of this long enough to get any effects really, it was a foul mix of pungent and earthy like you filled your mouth with a hand full of dog shit dirt, so foul. I wouldn't recommend this to anyone dispute the 20+percent THC content. so gross so foul.”"
THeCannasseur,https://www.leafly.com/indica/hogs-breath/reviews/1260077,"“By Far 1 of My Favs.”"
oobydo,https://www.leafly.com/indica/hogs-breath/reviews/1639633,"“Shiver & shutter
Recovers your mother....
I need a peeler!”"
crumbbum,https://www.leafly.com/indica/hogs-breath/reviews/1070408,"“Hog's Breath has an amazing balance between body and head high...leaning towards the mellow side.  A great headspace for evening time...and very stimulating to the apetite.”"
BlackSagan29,https://www.leafly.com/indica/hogs-breath/reviews/1070409,"“Great weed to spark creativity.”"
fakinmoves,https://www.leafly.com/indica/hogs-breath/reviews/1448126,"“Good pungent strain. Great high.”"
anonymous,https://www.leafly.com/indica/hogs-breath/reviews/1241458,"“Really good body high...smoked one blunt and it had me lifted.”"
LadyVirgoLove,https://www.leafly.com/indica/hogs-breath/reviews/1176134,"“Smells great”"
bigbill420,https://www.leafly.com/indica/hogs-breath/reviews/1133610,"“This is a great cross was my freebie for my first visit needless to say I will be getting more”"
bigbill420,https://www.leafly.com/indica/hogs-breath/reviews/1133921,"“Great cross a must try was my freebie but went back for more today a+”"
jbecker,https://www.leafly.com/indica/hogs-breath/reviews/1221044,"“not a fan. harsh and hard to enjoy smoking.”"
weedismymedicine,https://www.leafly.com/indica/hogs-breath/reviews/1299055,"“Just smoked this yesterday, great strain. Starts with a big head high, moving slowly to a couch locking indica. High last awhile, easy to smoke, really smelly”"
highdefnition,https://www.leafly.com/indica/hogs-breath/reviews/1281830,"“Had this circa 2004 and i remember it fondly. Smells like baby diapers and playdough but with a cheesy earthy sweetness, lol. Effects were good, but hard to recall off top. But that strange smell though ala cheese or catpiss, its unforgettable.”"
teeterrl07,https://www.leafly.com/indica/hogs-breath/reviews/1170267,"“Yum!!! I love the way this flower tastes!”"
verdamper,https://www.leafly.com/indica/hogs-breath/reviews/1135239,"“Heavy indica. Be prepared to relax. Piny taste, not really sweet tasting. Good for heavy pain, anxiety and lazy Sundays.”"
MR.MORRISON,https://www.leafly.com/indica/hogs-breath/reviews/1144097,"“Super fluffy and smells just like you slipped and fell into a pig farm. And just stayed there. Nasty. But the smoke is smooth and the buzz is beautiful. Tried only once.....But tried an ounce woth of it so I kinda know if I like it or not.”"
SmokeyJohnn,https://www.leafly.com/indica/hogs-breath/reviews/1070412,"“Awesome strain. I'm not a big fan of the pine sol scent you get from other strains, so when I smelled and tasted Hog's Breath, I was instantly a fan. The high is great too. I highly recommend this strain.”"
1willwashere1,https://www.leafly.com/indica/hogs-breath/reviews/1251910,"“I feel a nice body high without it affecting my ability to think. The smoke feels like its room temperature or colder. Overall  not bad.”"
sigmarip,https://www.leafly.com/indica/hogs-breath/reviews/1070405,"“A unique taste, that's for sure.”"
herrgumby,https://www.leafly.com/indica/hogs-breath/reviews/1070419,"“I had tried this one before but it is a good one as they all are anymore.”"
hcazrellim,https://www.leafly.com/indica/hogs-breath/reviews/1399003,"“This has been a great high. I am very creative and talkative. 

Instead of my actual essay, I am going to try and be creative and type something high. Here are a few disclaimers: the room is flashing in front of me, and I am with Mike so I am a little bit rattled, and I am fascinated with how high I am, and this dialogue just occurred: Mike: Wow, just in that short time you probably wrote more than I have while you w...”"
mjl9694,https://www.leafly.com/indica/hogs-breath/reviews/1170795,"“In the words of mack maine on Sorry for the wait 2 "my weed smelling like armpits and assholes" this is what hes talking about. Hogs breath is straight out of a dumpster smell”"
aerielb,https://www.leafly.com/indica/hogs-breath/reviews/1272540,"“doesn't really get me high and gives me awful headaches..😞”"
Anonymous,https://www.leafly.com/indica/hogs-breath/reviews/1399004,"“shit sucks”"
