Maple Leaf
=============
MrKhronicz,https://www.leafly.com/indica/maple-leaf-indica/reviews/1372171,"“One of the first legendary strains, in my opinion, I tried.

I understand highly what it means when they say, "if enjoyed too much, can bring on a deep sleep".
Me and my girl got a bag of this stuff, smelled amazing and was sticky like syrup.
Got home, packed my favourite Yoda bong with a fat bowl, hit it, put a bowl for my girl and she hit it.
Zombiesaint,https://www.leafly.com/indica/maple-leaf-indica/reviews/1282301,"“Maple leaf was my first high. I felt very relaxed and my whole body had a slight vibration. Wonderful head high with it as well. Smoked one joint 1 gram lasted about 4 hours of complete and total bliss. Like other reviews state this is like having your favorite blanket wrapped around you.”"
spicycolleen,https://www.leafly.com/indica/maple-leaf-indica/reviews/1235360,"“Not only does this smell delicious, it tastes so yummy and fruity. You can smell and taste a strong grape flavor and for me, that's always a plus. Something about fruity strains. This high kinda creeps up on you. The body relaxing happens right away though, and I just sank back into the couch feeling relaxed and warm and happy. Maple Leaf isn't too heavy of a hitter but more than gets the job done. I have nothing bad...”"
sn2000,https://www.leafly.com/indica/maple-leaf-indica/reviews/1296996,"“The taste is one of the best (vaporize)”"
Baubesis,https://www.leafly.com/indica/maple-leaf-indica/reviews/1180360,"“This is an ok strain. Hits good and tastes a bit like maple. Kind of gave me a headache though. I had to mix this with some pennywise to offset the headache.”"
quiqueguilarm1,https://www.leafly.com/indica/maple-leaf-indica/reviews/1313738,"“Excellent strain really relaxing,puts you happy, get a deeper sleep, concentration the only that I didn't liked was feeling sleepy, also my eyes were near to close because I am asiactic but I hate that because it makes you look really passed out.
Greetings everyone from Mexico City were they are excellent Kush.”"
oteimages,https://www.leafly.com/indica/maple-leaf-indica/reviews/1364553,"“I have nick-named this strain, "Night Night" as it is simply exceptional for giving you the best sleep you have ever had. It truly is one of my favorites of all time. Very consistent and the flavor is wonderful and not overpowering. I would call this a "heavy indica" which has obvious medicinal qualities. A truly wonderful companion after a hard day of work. I LOVE this strain . . . you will not be disappointed in th...”"
Funkenstein,https://www.leafly.com/indica/maple-leaf-indica/reviews/1223847,"“A quality indica strain to say the least. The onset is fast and sedating. It seemed to have an aphrodisiac effect that was smooth and euphoric. Never had it or even seen it before, but I would keep this strain on hand at all times if I could!!”"
ashhh18,https://www.leafly.com/indica/maple-leaf-indica/reviews/1325971,"“Smoked this after I got out of the hospital, and it was pretty decent. More of a strain you'd wanna smoke if you can't sleep though. Didn't help much with my joint pain or the inflammation throughout my body, but I definitely passed out every time I smoked this.
Overall rating would be about a 3.5/5.”"
Sav.254,https://www.leafly.com/indica/maple-leaf-indica/reviews/1711712,"“very sweet smelling. smooth high. perfect for late night smoking.”"
shroast,https://www.leafly.com/indica/maple-leaf-indica/reviews/1740756,"“The history behind this plant is crazy. Looooved smokin it. Just fantastic.”"
Anonymous,https://www.leafly.com/indica/maple-leaf-indica/reviews/1358718,"“Have a bile movement”"
Stonedmetalhead,https://www.leafly.com/indica/maple-leaf-indica/reviews/1209407,"“Haven't tried but from what i have heard it is a nice smooth strain!!”"
