Legend OG
=============
ajr819,https://www.leafly.com/indica/legend-og/reviews/1415518,"“Great strain. This one showed up suddenly in Berkeley (I got mine from the CBCB) and boy does it live up to its name! I am a heavy medical user, which can be frustrating because my tolerance is high. It can be difficult to find strains that are strong enough to give me a notable, undeniably medicinal effect. 

This is a couch-lock high, and the CBCB describes this as "Sedative. Good for sleep" on its website, while a...”"
HighlyConcentrated710,https://www.leafly.com/indica/legend-og/reviews/1492503,"“As a person who enjoys a nice indica this strain is a favorite so far. The sedating and relaxed effects are complimented with a euphoric feeling as well. The pungent taste consumes your mouth after exhale with a smooth fruity undertone.”"
Zpeebs91,https://www.leafly.com/indica/legend-og/reviews/1368162,"“This Pre Roll Was Solid Was A Creeper Everything ive gotten from phresh has been grade a top shelve weed best dispensary i highly recommend it”"
thbjj,https://www.leafly.com/indica/legend-og/reviews/1615864,"“New favorite strain!! Helps when I need to sleep(in daytime due to working overnights) and also helps the pain from a pulled muscle!!!”"
WhoDatBuul,https://www.leafly.com/indica/legend-og/reviews/1782286,"“Well first and foremost, the smell of legend OG horrible and the taste is the same...So if you are looking for something sweet tasting this is not the one for. It's smooth going down, no cough effect with this strain. 
It makes you VERY VERY relaxed. But 4 stars from this guy”"
ShireFeet234,https://www.leafly.com/indica/legend-og/reviews/1782035,"“Nice strain. Very relaxing. Colors look nice. Pain greatly reduced. Solid strain.”"
420D12,https://www.leafly.com/indica/legend-og/reviews/1388798,"“I favor this one because of my sleep issues and anxiety it does well for me I also feel relaxed and it takes the edge off  when I'm feeling stressed.  Osa28 🙏🏽”"
Steeleyoface,https://www.leafly.com/indica/legend-og/reviews/1793594,"“I like smoking powerful indica strains in the morning sometimes. Just to see how it will make me feel. After two hits. I thought the reviews i read were BS. Omg this stuff creeps up and bam! Im laughing my eyes are weird feeling. I have had coffee and a bowl. Legend is an amazingly strong buzz. Taste very good and sticky to the touch. Probably need to use this one later in the day. But have fun with it on a wake-n-ba...”"
CaptainQuazar,https://www.leafly.com/indica/legend-og/reviews/1776635,"“My gram of Legend OG from Ilera was 1 big Christmas tree shaped bud, complete with snowy frosting. Seemed a shame to grind it, but I did and it gave a vanilla scent. Tasted like diesel fuel however. I was having a bad pain day and this helped. Also gave a mellow, relaxing, and oddly uplifting head buzz. Paired to perfection with Letterkenny. This is some good shit, but I wouldn't call it Legend-Derry.”"
G_indica_lover,https://www.leafly.com/indica/legend-og/reviews/1782762,"“Top notch indica, it was something i picked up just to try and now its one of my favorite strains. It really worked wonders for my anxiety and insomnia. When i first opened the jar i wasn't very impressed with the looks but when i tried it wow it was just awesome. 5 Stars all day long........”"
kushopz,https://www.leafly.com/indica/legend-og/reviews/1787540,"“If you can get a hold of top shelf this strain is GAS.”"
NaturesWayMedicine,https://www.leafly.com/indica/legend-og/reviews/1719925,"“Patients who have tried Legend OG say its a perfect choice for treating conditions such as chronic pain, insomnia, migraines, muscle spasms, and appetite loss. They also really enjoy the relaxing and uplifting effects from this flower. The buds are small, neon green and full of orange hairs that are covered in crystal trichomes. The flavor and aroma is very fruity, citrusy, and a little earthy.”"
DaddyMadcap,https://www.leafly.com/indica/legend-og/reviews/1611618,"“This strain is A+ if you’re looking for some Z’s or munchies! I use honeycomb clear cartridges and the taste of this strain is just delightful.”"
