Cinderella's
=============
doobwalker,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1415822,"“"I know you, I walked with you once upon a dream..."

I almost missed attending the ball with this pretty hybrid princess.  
She's not the Disney sort, though- this girl slides up to you with a knowing twinkle in her eye and a sly grin on her face.  
You know the look- 
You want her and she knows you do... but she's going to tease you a bit with her golden locks and her emerald eyes.  But then, before you realize it,...”"
Pez713,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1167724,"“Not long after the first hit there is a subtle uplifting feeling, almost tingly. This feeling can stay and build with more hits but never becomes intense or overpowering. Thinking is still surprisingly clear and it gave me a desire for creativity and adventure, making this a perfect daytime high. Would especially recommend for new smokers.”"
amandacr88,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1282751,"“As a house wife, I feel this strain is aptly named! Great energy and a clear head while feeling no pain and just quiet contentment! I was able to clean my home without the back pain that I normally experience! Definitely an excellent buy!”"
jworleybird2,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1192661,"“ok...”"
Kourim,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1310446,"“Recommended as an alternative to Durban Poison. Not quite the same, but still uplifting.”"
intolerable1,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1559272,"“it's 10 am. first cup of coffee, morning meds including mood stabilizers and maximum dose adhd meds, followed with Cinderella dream. 
  I am bipolar, trying to find balance with current moods like a landing aircraft, hit & miss, but almost there. unfortunately a current dip to level 8 depression. so I went looking for my emergency back up flavours, Head Cheese & Gorilla Glue. They bring me an abundance of joy. I ALWA...”"
BIGF00T,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1268640,"“I bought the flower strain from Dawg Star and it was harvested very recently! Nice bright green tight buds. Smoked like a pro, nice body and head high. Left me feeling great. 👣”"
cmarion5,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1246556,"“Very funky/unique taste. Smooth toke overall, comes on nice. Euphoric and stress relieving, yet surprisingly energy inducing.”"
JoePes,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1275806,"“This strain I personally found to be absolutely amazing. I got a gram of it smoked it and went back for 2 more a few hours later. It's got that sweet blue dream smell and similar flavor.  it was a nice 27% flower. definitely made my mood uplifted. This is in my top 20.”"
BIGF00T,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1268640,"“I bought the flower strain from Dawg Star and it was harvested very recently! Nice bright green tight buds. Smoked like a pro, nice body and head high. Left me feeling great. 👣”"
cbugenig,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1537597,"“this strain for me is the perfect hybrid.  I love something that can keep me focused and going,  yet euphoric and  relaxed. definitely my new favorite🙂”"
1AZSMOKESIGNAL,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1274484,"“Easy uplift, smooth with a hint of fruitiness. Puts you in the best meditation estate.”"
CuriousBuddha,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1205143,"“Like blue dream with tranquilizers.”"
SgtSm0keyBEAR,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1306257,"“This strain smells rather earthy with a hint of a pungent citrus. Im giving  it 3 stars because its not a lay you on your butt kind of high. It is a Sativa so the high is a bit energetic and its definitely good for day time use.”"
raharri,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1300526,"“You become the windmill.  Raise your arms to your sides and begin spinning slowly in a circle.  You shall feel every molecule of air as it passes over the vast topography of your skin, caressing gently every nerve ending.  Really though, quite enjoyable.  Rating:  Hooray!”"
HighLig,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1520881,"“Went looking for Blue Dream and found a strain fit for the princess I am. 🙃 after only two tokes from a pre-roll, I am euphoric and relaxed after the longest weekend of moving from AZ to WA. Perfect feels.”"
AnnaReLo,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1300389,"“Euphoric high followed with many giggles and happiness.”"
AnnaReLo,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1300389,"“Euphoric high followed with many giggles and happiness.”"
1AZSMOKESIGNAL,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1275014,"“Chente quote " Funkn awesome™"
.. Super chill, puts you in a relaxing state of mind.”"
chellie2009,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1166925,"“I love it”"
NuglasKushman,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1609164,"“Fairly social strain. Doesn’t give chronic red eye. No munchies, a rarity. Great overall.”"
SmokeyJ420,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1171680,"“Heavy Hitter Smoke !' every time I take a puff i get those nice big Sosa Clouds !' perfect Heady High the Smell on it had my face halfwalf in the bag from the Citrus Stank !' -TdUb”"
8characters,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1788598,"“<3 smokey point”"
Lovelyone2824,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1785831,"“My absolute favorite. Its a go to for a euphoric relaxing high. Its pretty smooth to smoke, and best in smoke and edible form.”"
rangerdan29,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1376726,"“Great daytime smoke. Very smooth, no harshness whatsoever. Its strong, but not overpowering in its high. It wont give you tons of energy, but there's No paranoia, or anxiousness here. This sativa dominant plant will leave you relaxed and inspired to get creative. Excellent strain for music events that don't require too much jumping around. Light and fluffy buds are covered in kief and have a fruity/tropical aroma wit...”"
mellowagency,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1363766,"“I love this stuff! It is so mellow, yet uplifting. I feel relaxed but not sleepy, but it is easy to fall asleep on. It also is very spacey.”"
mellowagency,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1386249,"“This is my absolute favorite strain! A combo of Cinex and Blue Dream relaxes the muscles but not the mind. It makes you happy and positive.”"
StonieWhoa,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1233717,"“I love this strain. Just the thing for a nice game session.”"
HarvestMasterRentals,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1300539,"“Perfect summertime high! Feeling chill,happy and relaxed.”"
rizlo,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1391420,"“it's really heady without body high..++++”"
daphmarieg,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1310946,"“actually my new favorite! I'm in love ! I finally cleaned my dam room! & im not stressing as much as I was earlier!”"
MystiqLove,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1313996,"“It is a very good strain for use during the daytime, takes away your stress with mins.... and the feeling of energetic yet relaxed just succumbs you!”"
cerebustheant,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1252609,"“Smoked a pre-roll of this stuff. Feels pretty good. Would smoke again.”"
Nuyrican,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1615456,"“Great for reading🤓”"
NuglasKushman,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1609164,"“Fairly social strain. Doesn’t give chronic red eye. No munchies, a rarity. Great overall.”"
queenennis15,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1603129,"“It's tough on the through but tastes really good and earthy floral kinda flavor”"
Outlaw509,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1535971,"“This is a very relaxing strain. If it had to study, I would pick this all day long. Very focused, Not my favorite taste but it’s not bad. I recommend for focus and relaxing but not for anything physically active.”"
HighLig,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1520881,"“Went looking for Blue Dream and found a strain fit for the princess I am. 🙃 after only two tokes from a pre-roll, I am euphoric and relaxed after the longest weekend of moving from AZ to WA. Perfect feels.”"
cbugenig,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1537597,"“this strain for me is the perfect hybrid.  I love something that can keep me focused and going,  yet euphoric and  relaxed. definitely my new favorite🙂”"
TheFriendlyViking,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1255205,"“Cinderellas dream by Pioneer Nuggets listed as a Hybrid and if I remember correctly is Cinderella 99 crossed with blue dream. I thought it tasted sweet and a bit minty with grapefruit tones. The high was an active chill which had me moving with purpose and without outer concerns. I recommend it if you are writing reviews on Leafly after a party or just getting stuff done around the house”"
chellie2009,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1166925,"“I love it”"
betchibet,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1509461,"“good smoke....smooth. has a peppery flavor to me....not so much sweet but the high is good”"
Triplefault,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1509790,"“Although this strain is pleasant enough experience used alone, where this strain really shines is in social settings. The high of this strain mirrors your current mood, while typically useful for stress relief, this high is one that can "get away from you" if you're not careful. Yes, that goes for even seasoned smokers. Lucky for you this strain is rarely the stuff of nightmares, and rather a bold, heady, and authent...”"
CoriS,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1530500,"“For me, it's a great wake and bake.  The hit is nice and smooth.  Works awesome if your depressed or have bipolar.  It is my 100% favorite strain”"
Dollarstorekush,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1752913,"“I was definitely looking for a more giggly strain, but this one takes the cake! This made me feel very productive and energetic, but not hyper. Really focused me and actually made me want to get up and do stuff.”"
Lovelyone2824,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1785831,"“My absolute favorite. Its a go to for a euphoric relaxing high. Its pretty smooth to smoke, and best in smoke and edible form.”"
8characters,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1788598,"“<3 smokey point”"
1AZSMOKESIGNAL,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1275014,"“Chente quote " Funkn awesome™"
.. Super chill, puts you in a relaxing state of mind.”"
AnnaReLo,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1300389,"“Euphoric high followed with many giggles and happiness.”"
raharri,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1300526,"“You become the windmill.  Raise your arms to your sides and begin spinning slowly in a circle.  You shall feel every molecule of air as it passes over the vast topography of your skin, caressing gently every nerve ending.  Really though, quite enjoyable.  Rating:  Hooray!”"
SgtSm0keyBEAR,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1306257,"“This strain smells rather earthy with a hint of a pungent citrus. Im giving  it 3 stars because its not a lay you on your butt kind of high. It is a Sativa so the high is a bit energetic and its definitely good for day time use.”"
CuriousBuddha,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1205143,"“Like blue dream with tranquilizers.”"
1AZSMOKESIGNAL,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1274484,"“Easy uplift, smooth with a hint of fruitiness. Puts you in the best meditation estate.”"
OminousWeasel,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1200306,"“Uplifting head high”"
Danny1998,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1203918,"“it's pretty good!”"
2TTesse,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1275515,"“This strain has a fast and active high. I loved it and bought more soon after. This is differently one of those uplifting strains!”"
kanna37,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1305952,"“This one's a solid 4.8 for me.  It works wonderfully for my lack of appetite and nausea, which is good, because otherwise I can't eat.  It also gives my mood a good uplift, not too high, mind you, but a good solid comfortable and contented feeling that makes me sit back and daydream with a smile.  Really enjoy this strain!”"
inflames.bm,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1302908,"“A great strain for day or night. My batch was cured properly thanks to CBHS in Van City. Really spacey head high comes on fast and provides enough of a boost to go and get stuff done. In the evening, same head high but relaxed afterwards. Earthy but not overly potent smell. It tastes like good weed should.

As for pain, it doesn't quite silence it, but, like Jack Herer, it takes my mind off of it for a while.”"
brilligbear,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1379062,"“Everything it promises to be. Uplifting, slightly energizing, stress relieving, depression alleviating, mild pain relief. I am sensitive to sativa and while I love being stoned, I still enjoy  being  in control and able function in social settings. Cinderella's Dream affords me the medicinal value without any of the anxiety or paranoia I find in some sativa strains. I should note I am vaping this particular strain.”"
letigre68,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1283845,"“Love this strain after work. Super chill. Best way to de stress.”"
SeatownHaze,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1310441,"“Good balance of "get up and go" and feeling smooth, chilled out.”"
McDinky,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1184536,"“My new favorite strain. Similar effects as Blue Dream but a little more of a head high. Seems to last longer too. The buds are light green with a sweet taste and smooth smoke. Will definitely buy again.”"
timmysauce,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1298183,"“It's ok. I'm a fan of sativa dominant hybrids but this strain I have is a bit too heavy in the head. I like that it's so potent I only need a small amount to get blasted but the cerebral rush is a bit paralyzing.”"
DopeJett2307,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1356998,"“Very focused and I am in love with it. The uplift and focus is just what I was looking for to smoke before the gym. And no dank smell carries with me which is really nice since I'm coming from the car into the gym.”"
pnwpackmom,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1381707,"“Hard to believe this is my first time smoking Cinderella's Dream and I have no idea why except probably the Cinderella. Now that Tangie mothers need a break, my Bud Tender brought this and Lodi Dodi out. Not having my phone (and thus no Leafly App) I wasn't able to see which was going to be better for my crankiness so I went with Cinderella's Dream even knowing Cinex (one of the parents) was not one of my faves. Need...”"
PLP,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1161012,"“This one was a bit different than the ones i usually prefer. Normally I go for something that'll make me really giggly.  by that measure, this was not a great strain for me. that bring said, i like the strain on it's own merits. it gets me feeling very happy, as well as giving me body tingles and a slight pressure at the templates.”"
pnwpackmom,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1381706,"“Hard to believe this is my first time smoking Cinderella's Dream and I have no idea why except probably the Cinderella. Now that Tangie mothers need a break, my Bud Tender brought this and Lodi Dodi out. Not having my phone (and thus no Leafly App) I wasn't able to see which was going to be better for my crankiness so I went with Cinderella's Dream even knowing Cinex (one of the parents) was not one of my faves. Need...”"
Jocknock,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1342556,"“I have found this strain to be very relaxing and--in my experience--good for severe pain management.”"
rizlo,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1391767,"“perfect weed..psychedelic stuff..so it's highly possible it's an outdoor weed..really really one of the best weed i've smoked in usa”"
jefrick,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1359613,"“Great for a wake and bake and for daytime pain relief I love it”"
nico3745,https://www.leafly.com/hybrid/cinderellas-dream/reviews/1172420,"“pretty nice strain. It got along with me fairly well. It has some really solid green buds. when you grind it it looks like parsley. I only wish i wouldve got more. I would say this strain is happy, interested in media, and just all around good.”"
