Ace Killer OG
=============
John18,https://www.leafly.com/indica/ace-killer-og/reviews/1395737,"“5/11/2016
It's 8:32 am, and I've just done the unthinkable...I inhaled 3 big hits of, "Ace Killer Og."  No worries though....I've done it for scientific research, to get the full effects of this strain right out of the sack, and judging by the increasing sloppiness of my handwriting, (I'm writing this longhand on a yellow legal pad to be transcribed on computer), it's sending a profound message:
TheIronLung718,https://www.leafly.com/indica/ace-killer-og/reviews/1318071,"“Super dank and very solid dense nugs.. great heavy high -G NYC718”"
musthaveanoz,https://www.leafly.com/indica/ace-killer-og/reviews/1366469,"“have not had it. But I'm SURE I'M GONNA LOVE IT”"
chandler32561,https://www.leafly.com/indica/ace-killer-og/reviews/1270263,"“This is my favorite and honestly in my opinion is the best I've ever had”"
Diezzzel,https://www.leafly.com/indica/ace-killer-og/reviews/1388124,"“Great strain helped me take a dump”"
JoshLoc,https://www.leafly.com/indica/ace-killer-og/reviews/1361421,"“I found this similar to GG#4 in that it's really gassy and it gives that headband type high like all fuel strains. Instead of the heavy body stone though, it has more of a skunk/cheese body warming/relaxing feel. I try to have a fuel strain on hand for daytime anxiety, this would not be my first choice but i would get it if I couldn't find GG#4 or a Sour D cross. Plus who can pass on anything bred by DNA.”"
simplygenius,https://www.leafly.com/indica/ace-killer-og/reviews/1247808,"“Ace killer og is a heavy hitter.  One of the best strains of OG I have ever came across.”"
hlo420,https://www.leafly.com/indica/ace-killer-og/reviews/1242008,"“I got some at my local bud shop and it was pretty good first time I seen the name so I had to grab myself a gram”"
elevation4u2nv,https://www.leafly.com/indica/ace-killer-og/reviews/1257372,"“This Strain is a force to be reckon with. The Volcano Vaporizer kept delivering massive bags of vapor due to all the fur on these Nugs. You will not be dissapointed.”"
Jacobkrisp,https://www.leafly.com/indica/ace-killer-og/reviews/1706012,"“The second you touch your bed after a sesh your passing out. Amazing weed”"
Bowzer967,https://www.leafly.com/indica/ace-killer-og/reviews/1416231,"“This strain has got to be my personal favorite indica. After just a few hits you have an amazing body high. This strains high THC content becomes obvious after a bowl, and the indica will hit you like never before. Long lasting high for me, and some very good tasting bud.”"
Austinv67,https://www.leafly.com/indica/ace-killer-og/reviews/1262271,"“wow this indica will knock you out”"
