Rainbow
=============
flipndip187,https://www.leafly.com/hybrid/rainbow/reviews/1379609,"“Just got a batch. Lot of purple and red blotches and bright orange and milky yellow hairs. Delightdul taste, fruity almost candy like. High reminded me of blue dream,very balanced.
FYI 90% of the pics on this page are altered to show the "rainbow colors". its painfully obvious lol. Very rare for a plant to show colors like that on the actual buds, usually the "purple" or other color in the name refers to the plants a...”"
candide.weed,https://www.leafly.com/hybrid/rainbow/reviews/1633063,"“extremely balanced hybrid that leaves you with a free-floating body and sharpened mind. perfect for a night on the town”"
HerbeHeureuse,https://www.leafly.com/hybrid/rainbow/reviews/1758422,"“Happy long Thanksgiving weekend, Stoners!  

One of the six Cacadia herbal tinctures I picked up cheaply at Chalice recently is Rainbow.  I'm toward the end of the bottle and figured I'd better review it before it's gone!  
Rainbow is sweet tasting in this tincture and this hybrid of Dancehall and Blueberry put me soon at peace, cotton fluffy clouds in a blue sky walking on air kind of peace.  No real body high or cr...”"
hmmelani,https://www.leafly.com/hybrid/rainbow/reviews/1176347,"“This is great if u can find it try it. I've had a hard time trying to find something to work. This one works great for people with a high tolerance.”"
alexmbarca23,https://www.leafly.com/hybrid/rainbow/reviews/1358974,"“5/5. Nice dense purple buds! Amazing smell and flavor. If you see some around, def pick up! Solid strain for any occasion. Easy to roll as well, nice and sticky.”"
captaingillian,https://www.leafly.com/hybrid/rainbow/reviews/1283148,"“Life saver! I've had a bad ache in my joints lately & don't like taking pills for pain, was looking for a strain that would help and also take my mind off some bullshit - this strain did exactly what I needed it too and added a good amount of giggles. It did keep me up kind of late, but it kept me out of pain! Definitely indulge in this if you get the chance!”"
TootiePants,https://www.leafly.com/hybrid/rainbow/reviews/1343234,"“Mind was "rainbow dream". Very smooth. Barely coughed. Great stuff. 4 hours of uplifting happiness.”"
koomiekoomy,https://www.leafly.com/hybrid/rainbow/reviews/1207586,"“What I sampled, didn't have red nor blue nor purple hues; only orange hair and green leaves. The seller informed me that the appearance would depend on the grower and the ambient growing conditions. Anyway I bought a small gram from him to experience the rarity of the strain. Despite not having multi-colored appearance it  did raise the level of happiness and optimism to a higher degree;a very cheery smoke indeed. (P...”"
rissaqu33n420,https://www.leafly.com/hybrid/rainbow/reviews/1067443,"“the rainbow and black rhino was really good the smells when I first opened were amazing and I loved the highs:) dharma meds 2 service was also excellent they were really fast and super friendly, I would recommend anyone here. the prices were also the best ive seen yet:)”"
LittleFox7,https://www.leafly.com/hybrid/rainbow/reviews/1342377,"“If you like highs that feel more psychedelic than the lsd strain this is a good pick but if you have any kind of anxiety I would steer clear of this one. Got me good and high but at what cost”"
PotentPeacock,https://www.leafly.com/hybrid/rainbow/reviews/1237508,"“I am finding Rainbow to be a fantastic go to strain for managing daytime pain. The mix of THC to CBD seems to be just right to keep me moving and thinking at the same time. I don't get high so much as I get happy and relaxed in a very pleasant and productive way.”"
hmmelani,https://www.leafly.com/hybrid/rainbow/reviews/1176347,"“This is great if u can find it try it. I've had a hard time trying to find something to work. This one works great for people with a high tolerance.”"
LordGrenville,https://www.leafly.com/hybrid/rainbow/reviews/1515226,"“At a low temp in the vape I got a pretty heady stone and was pretty anxious for the low temp. Smells great, though.”"
captaingillian,https://www.leafly.com/hybrid/rainbow/reviews/1283148,"“Life saver! I've had a bad ache in my joints lately & don't like taking pills for pain, was looking for a strain that would help and also take my mind off some bullshit - this strain did exactly what I needed it too and added a good amount of giggles. It did keep me up kind of late, but it kept me out of pain! Definitely indulge in this if you get the chance!”"
koomiekoomy,https://www.leafly.com/hybrid/rainbow/reviews/1207586,"“What I sampled, didn't have red nor blue nor purple hues; only orange hair and green leaves. The seller informed me that the appearance would depend on the grower and the ambient growing conditions. Anyway I bought a small gram from him to experience the rarity of the strain. Despite not having multi-colored appearance it  did raise the level of happiness and optimism to a higher degree;a very cheery smoke indeed. (P...”"
_Asmodeus_,https://www.leafly.com/hybrid/rainbow/reviews/1543886,"“Overall, not my favorite but I'll still smoke it. Great smell but thought it kinda smells like burnt candy once smoked. Helps me enjoy focusing on a task but if I smoke at night, I'm out like a light. Doesn't last forever, maybe an hour and no 'foggy' feeling afterwards.”"
captaingillian,https://www.leafly.com/hybrid/rainbow/reviews/1283148,"“Life saver! I've had a bad ache in my joints lately & don't like taking pills for pain, was looking for a strain that would help and also take my mind off some bullshit - this strain did exactly what I needed it too and added a good amount of giggles. It did keep me up kind of late, but it kept me out of pain! Definitely indulge in this if you get the chance!”"
JRyanAlexander,https://www.leafly.com/hybrid/rainbow/reviews/1067439,"“Very smooth hits, with a strong body buzz. Uplifted head high yet relaxed with the CBD content.”"
LordGrenville,https://www.leafly.com/hybrid/rainbow/reviews/1515226,"“At a low temp in the vape I got a pretty heady stone and was pretty anxious for the low temp. Smells great, though.”"
mtchyg,https://www.leafly.com/hybrid/rainbow/reviews/1285817,"“Nice and relaxing. Gave me the laughs. Let me fall asleep earlier than normal.”"
NonSmokingSmoker,https://www.leafly.com/hybrid/rainbow/reviews/1782080,"“Tried unicorn rainbow in San Diego... it definitely made me more giggly and funny than wet dream strain... but it did make me feel more relaxed and laid back as well. I like feeling more energetic, so this strain is good for relaxing and just enjoying life... talking, eating, joking around... also made me feel like a kid, just enjoying the most simple pleasures in life. Went to a park and was just taking pictures of ...”"
KhrisKam,https://www.leafly.com/hybrid/rainbow/reviews/1661996,"“level”"
Sonofabrokenman,https://www.leafly.com/hybrid/rainbow/reviews/1269928,"“like a rainbow in the dark. DIO, this strain had citrus flavor, good buzz early, creative mid buzz. slight headache at the finish. check it out. its a good smoke.”"
lvon1277,https://www.leafly.com/hybrid/rainbow/reviews/1369910,"“Extremely potent strain, I bought an unknown to me and was very impressed!”"
Microstoner93,https://www.leafly.com/hybrid/rainbow/reviews/1345370,"“Best stain for ADHD!”"
hmmelani,https://www.leafly.com/hybrid/rainbow/reviews/1067437,"“Best strain I've found but hard to find”"
TSTNW19,https://www.leafly.com/hybrid/rainbow/reviews/1205367,"“Freaking love it growing next season”"
HighIrishMan,https://www.leafly.com/hybrid/rainbow/reviews/1185805,"“This is my girls favorite strain! Tastes amazing very uplifting and fun. Smells great, looks great, and tastes great! Had some color I haven't quite seen before.”"
Sativasmoke91,https://www.leafly.com/hybrid/rainbow/reviews/1567126,"“Good smoke. A little harsh. Good smell and flavor. Slow onset nice high. Felt a bit tired shortly after could have just been me.”"
Chris531,https://www.leafly.com/hybrid/rainbow/reviews/1504045,"“I haven't had this strain and I really want to know what seed companies carry feminized rainbow seeds. The company producing them is lifetime seeds but they are out of stock. Every other place has rainbow kush and those are 2 completely different strains. If anyone knows information about rainbow seeds please let me know. Thanks fellow tokers ✌”"
KhrisKam,https://www.leafly.com/hybrid/rainbow/reviews/1661996,"“level”"
elmuchacho360,https://www.leafly.com/hybrid/rainbow/reviews/1777864,"“First time smoking through Pax Era and this got me hooked! This was the perfect type for a relaxed drive down to bdubs where I ate more than the three other guys I went with! This will keep you focused but will also keep you relaxed.”"
NonSmokingSmoker,https://www.leafly.com/hybrid/rainbow/reviews/1782080,"“Tried unicorn rainbow in San Diego... it definitely made me more giggly and funny than wet dream strain... but it did make me feel more relaxed and laid back as well. I like feeling more energetic, so this strain is good for relaxing and just enjoying life... talking, eating, joking around... also made me feel like a kid, just enjoying the most simple pleasures in life. Went to a park and was just taking pictures of ...”"
UncleFreaky,https://www.leafly.com/hybrid/rainbow/reviews/1217978,"“picked up a prerolled joint since I am out of state, nice uplifting high and very tasty.”"
seaeastman,https://www.leafly.com/hybrid/rainbow/reviews/1240622,"“This review is based off a Cannasol batch packed in 8/15 and imbibed 1/16.

Wow. Seeing is believing with this strain. It's obvious upon glimpsing these nugs that they were hearty, healthy, and potent. But even more communicative of this strain's quality is the smell and taste of both bud and smoke. It is among the top three or two for me, personally. More generally. the grow choice here with this strain is absolutel...”"
SethTheRuler,https://www.leafly.com/hybrid/rainbow/reviews/1263834,"“it was suggested by a friend so I gave it a shot. I hotboxed my bathroom like usual and smoked a gram and headed upstairs to get my Ipad like usual. before I knew it a euphoric tingle ran through my body and next thing I know I'm on my couch trawling about life and solving my problems. Best stuff I've had so far”"
EugeneOGs,https://www.leafly.com/hybrid/rainbow/reviews/1266476,"“I enjoyed this thoroughly.  its the perfect weed to relax and zone out. Thumbs up”"
jessejames,https://www.leafly.com/hybrid/rainbow/reviews/1067432,"“9.1 20+AAA
colourful!!!!!!!!!
MUST TRY!!!”"
BallSoHard_75,https://www.leafly.com/hybrid/rainbow/reviews/1067436,"“Very good quality.”"
D3cim8,https://www.leafly.com/hybrid/rainbow/reviews/1263265,"“i wanna smoke it that looks beond dank”"
reddyplayerone,https://www.leafly.com/hybrid/rainbow/reviews/1325258,"“Wow. First time trying this, used it for cramps. While it wasn't knocking me out, I wouldn't use this on a day when I need to get shit done. My attention span? Gone. Can't focus. Felt like I needed an adult because it wasn't going to be me. Helped with the pain, though. Dry mouth. 

(Used a pre-roll from Harvest of Tempe. Vaped with a pulsar apx.)”"
mtchyg,https://www.leafly.com/hybrid/rainbow/reviews/1285817,"“Nice and relaxing. Gave me the laughs. Let me fall asleep earlier than normal.”"
RedSkin3,https://www.leafly.com/hybrid/rainbow/reviews/1304140,"“The best thing ever. For now... Really perfect. The best fruity flavour and a great happy high. Not for pre-parties, not perfect so much for sleeping. Need a lot of energy but the feeling of happiness and electric body has no price.”"
Metalkid1xxx,https://www.leafly.com/hybrid/rainbow/reviews/1196570,"“Jah Healing Caregivers 2”"
lemanzs,https://www.leafly.com/hybrid/rainbow/reviews/1362772,"“This Strain is lighting-mellow vibe. Great strain to have! Effective!!”"
danspado,https://www.leafly.com/hybrid/rainbow/reviews/1153452,"“Awesome strain. Will definitely get you ripped!”"
hjointsmoke,https://www.leafly.com/hybrid/rainbow/reviews/1240632,"“Received a free pre roll of this stain and it was great! Very relaxing high that you fell both in mind relaxation and a nice body buzz down to my toes. Thanks Nature's Wonder of AJ!!”"
huffapuff,https://www.leafly.com/hybrid/rainbow/reviews/1254951,"“Dabbed Rainbow budder in a cape pen.  Amazing taste & high! Great relaxing but productive high.”"
crazydoglady,https://www.leafly.com/hybrid/rainbow/reviews/1309683,"“i was super down in the dumps. i have very bad depression and anxiety and this helped SO much. it cheered me right up, and gave me the giggles.”"
Ktaycheney,https://www.leafly.com/hybrid/rainbow/reviews/1292970,"“Tingly and weird. Not good for pain relief.”"
skullerymaid,https://www.leafly.com/hybrid/rainbow/reviews/1310277,"“This was an intense high! It somehow manages to make you feel blasted in outer space without being heavy or stoney. Makes you feel like you have no body... I wouldn't even say it's relaxing or numbing, it's almost like your body is simply outside your scope of awareness. It made my head a little speedy, but not in a bad way. I personally would have preferred less head high, but that's just me.”"
TRIWANDA,https://www.leafly.com/hybrid/rainbow/reviews/1067434,"“OMG”"
kriswak86,https://www.leafly.com/hybrid/rainbow/reviews/1172900,"“This is an awesome strain! Pretty to look at as much as it is potent. I tried this strain at Hempfest in Seattle last year and the colors of these buds were mind blowing! If you can find it definitely try it.”"
cjh9241974,https://www.leafly.com/hybrid/rainbow/reviews/1208755,"“Rainbow certainly lives up to all the hype. Delightful taste in my vaporizer. I'm not one of you lucky devils that has the luxury of selection so I'm very pleased this strain made it's way around.”"
KushGypsy420,https://www.leafly.com/hybrid/rainbow/reviews/1213587,"“my fave”"
Kimb,https://www.leafly.com/hybrid/rainbow/reviews/1193440,"“Who knows? Some dispensaries have their pre rolls that are  
 leftovers from the weighing table so you end up w/ whatever. This should have another nickname instead of giving the wrong strain name. Mary Jane mix? I would love to try the actual rainbow strain if I could find it close by!”"
dupuis,https://www.leafly.com/hybrid/rainbow/reviews/1266533,"“This was unreal, it had a wide variety of flavour first starting with a really fruity inhale and a high candy taste on the exhale. Very strong smell and all around nice wax!”"
darkqueenduck,https://www.leafly.com/hybrid/rainbow/reviews/1328970,"“What an amazing taste and couch locking high perfect for a relaxing day. The high is super euphoric and leaves a great smell in the air who needs Scentsy 😉🌈”"
youngblood420cdk,https://www.leafly.com/hybrid/rainbow/reviews/1313715,"“I've had this one time me and my buddy and I we're laughing our asses off it was one of the best but I've smoked”"
Anonymous,https://www.leafly.com/hybrid/rainbow/reviews/1067433,"“Great fucking bud!!!”"
RatelBreezy,https://www.leafly.com/hybrid/rainbow/reviews/1222786,"“Loved it. Nice heavy High and a distinct taste”"
VoodooMonsta420,https://www.leafly.com/hybrid/rainbow/reviews/1242449,"“just picked up some rainbow wax and it's a smooth taste and a very nice instant high”"
EmeraldCitySmoker,https://www.leafly.com/hybrid/rainbow/reviews/1303552,"“Rainbow and Rainbow Kush are in my top 5, easy. As someone who has been diagnosed with anxiety I find this strain to be very helpful in managing it. it can make you a little sleepy as most indica strains do but it come with great upside.”"
Querkles,https://www.leafly.com/hybrid/rainbow/reviews/1446371,"“This tasted like fruit punch! The smell is overwhelmingly wonderful. I questioned if I was smoking candy at one point. The high was happy and functional with a super comfy body buzz that keeps you on your feet. This is one of my go to video game strains. Love Walden's cut of it!!”"
rallysoob,https://www.leafly.com/hybrid/rainbow/reviews/1283503,"“For Growers: I am in process of growing a clone that was purchased from Casper's Dispensary in Eugene so I will report back with info and pics specifically to see if it is going to ripen out to Fruity Pebbles looking multi-colored buds or not etc etc. So far there is no good info regarding colorful phenoes found  -RallySoob”"
themadshatter420,https://www.leafly.com/hybrid/rainbow/reviews/1326212,"“very mellow and easy to manage. definitely a top pick”"
andasalinas,https://www.leafly.com/hybrid/rainbow/reviews/1343724,"“Relajante pero prendida... da mucho munchies... y la planta hermosa”"
lovdofficial,https://www.leafly.com/hybrid/rainbow/reviews/1193416,"“One of my personal favorite strains. 1, the flavor is amazing. 2, it always gets me in a good high. And 3, the color and smell of the atmosphere is just beautiful.”"
Yourstuley,https://www.leafly.com/hybrid/rainbow/reviews/1230844,"“Was expecting a little more 'rainbow' colors but it did its job! Still snelled like a bowl of fruity pebbles.”"
angel7,https://www.leafly.com/hybrid/rainbow/reviews/1188798,"“The taste isn't very good.”"
Psyblazer71,https://www.leafly.com/hybrid/rainbow/reviews/1329208,"“Had the Lumpstatus Reckless Rainbow version. Dam good all around, grown to perfection. Looks=5 delicate light green and purple. Smell=5 sweet fruity tropical. 
Smoke= 4.5 smooth with nice taste on exhale
High=4.5 relaxing with an active mind perfect afternoon strain.”"
Anonymous,https://www.leafly.com/hybrid/rainbow/reviews/1067431,"“Best bud I've ever had.”"
