Melon Gum
=============
AgingEnt,https://www.leafly.com/hybrid/melon-gum/reviews/1394623,"“Got this at Old Toby in Chehalis, WA. See pictures and detailed reviews on my blog - AgingEnt.com --Brand: Honu
Strain: Melon Gum
Sativa-dominant Hybrid--
samd14,https://www.leafly.com/hybrid/melon-gum/reviews/1168944,"“melon gum is the only strain i have ever seen to max out the creativity stat and it comes across in the bud. this weed causes me to lose track of reality to a certaon extent and becomr lost im my mind. i find it enjoyable and stimulating”"
CaseyJ0nes,https://www.leafly.com/hybrid/melon-gum/reviews/1293523,"“This strain was good as both wax and bud. It has a very light, smooth smoke to it, with sweet and tropical flavors and smells. I enjoyed this strain a lot, perfect for any time of day.”"
cogollohazer,https://www.leafly.com/hybrid/melon-gum/reviews/1296359,"“Probando fenotipo seleccionado de semillas de melongum, cogollos gruesos y azucarados con calices morados que combinan el aroma floral de la lavander y el dulzor intenso de la bubblegum, el efecto es potente y relajante, una buena indica dominante”"
Buttongypsy72,https://www.leafly.com/hybrid/melon-gum/reviews/1710642,"“For the sheer joy I got shoving my lil nose in the bag and hugging the lush fruity  aroma....on deep sniff it is taart..a bit like fruit stripe gum. A bit to indy for my sativadiva self to give it 5 stars... it's overall an enjoyable puff.....I liked it enough to leave a review”"
elliotgalbraith,https://www.leafly.com/hybrid/melon-gum/reviews/1727435,"“Holy melon moly this strain kicks ass! The right, light green buds with a beautiful frosting smelt of sweet candy upon grinding up. The taste was exactly as you’d expect, smooth, sweet, with a slight darker taste on the exhale. 
The effects come on immediately; strong cerebral high making entertaining like movies a lot more interesting. 
It then creeps up on you in an indica way, allowing for a large amount of relaxa...”"
Gralfus,https://www.leafly.com/hybrid/melon-gum/reviews/1317142,"“The name of the strain I got was "Naked Melons" by Urban Farms, but the parents seem to be the same as Melon Gum. I love the scent of this strain, very fruity and pleasant. I vaped herb at 350F, took 4 long draws and held my breath each time. Got a very light tingle around the edges of my body, went to bed and saw some colors and patterns that I typically get with an indica dominant strain. Definitely cranked up the ...”"
Darthbuckethead,https://www.leafly.com/hybrid/melon-gum/reviews/1166552,"“Great tasting and burns well. Feels like a more indica leaning hybrid.”"
WNCMaf,https://www.leafly.com/hybrid/melon-gum/reviews/1284700,"“A sedative high but won't put you to sleep. Good for movie nights!”"
IvanMartin95,https://www.leafly.com/hybrid/melon-gum/reviews/1294573,"“I actually got a slight mix on this strain; I picked up some *Sour* Melon Gum but OH MY GOD this strain is everything I was hoping for. Gets you just good enough with a mellow body high but not enough to couch lock you. Then it comes in with a second wave but this time cerebral. This strain would be good for just about anything. Great for anything from watching a movie to cleaning your entire house. I would recommend...”"
bigocb,https://www.leafly.com/hybrid/melon-gum/reviews/1203482,"“Great first taste, fruity and light. Smells fruit and tropical. High is great, very head centric to start. Eventually settles in to a relaxed body stone.”"
sirenfirehawk,https://www.leafly.com/hybrid/melon-gum/reviews/1140520,"“The high I got after smoking two whole buds with a water pipe was lackluster.
the affects were zero to none, only slightly tingly in my thumbs and toes. Nothing else. I'll smoke larger amounts later and updats to see if that made a difference.”"
