Kong
=============
DankKnight91,https://www.leafly.com/hybrid/kong/reviews/1384271,"“This is my new favorite strain. No, really. This strain feels easy on the lungs and the high is instant. A relaxing body high and all-around happiness will hit you within seconds of your first puff. 
You can keep smoking this and not really reach that "uncomfortable zone" many of us are familiar with, and is fairly priced for the product it is. You could drop more money on a strain like GSC and maybe get a more aggre...”"
supergaara2,https://www.leafly.com/hybrid/kong/reviews/1247875,"“Best strain I've ever had for anxiety, and the dankest strain of anything I've ever smoked. Got it in Fort Collins, CO north of Denver.”"
Wiseguy80,https://www.leafly.com/hybrid/kong/reviews/1356481,"“now I know why its name is Kong, its potent and packs a punch. To me Kong is more of a indica which I like. I was relieved of all pain in my body, but awake enough to do homework for school. Definitely a must try if you can find it. I got mine at Nature Herbs in Colorado.”"
MrJane,https://www.leafly.com/hybrid/kong/reviews/1225703,"“Kong is king! This is an amazing indica dominant hybrid with dense colorful buds. The aroma is reminiscent of a diesel strain as well as the flavor. Three hits in and I'm feeling a tingly warm body high and extremely relaxed. This would be a great strain for pain relief. Recommended with a comfy couch... enjoy!”"
dropdown710,https://www.leafly.com/hybrid/kong/reviews/1568236,"“This is  a kick ass indica, gorgeous big dense you are a 
 nug your    , I  recommend any time of day if you, Calming , relaxing, creative, couch locked if. If you love indicas get some”"
tirnanignog71,https://www.leafly.com/hybrid/kong/reviews/1182164,"“If you can find Kong, GET IT NOW!  The strongest strain I have ever had.  I felt all indica-coma like.  Couldn't recognize any sativa ish qualities.   Seriously ten seconds after first hit I felt stoned all over.  Not the best tasting but def the most potent!”"
Copper00,https://www.leafly.com/hybrid/kong/reviews/1758898,"“I love it. Very nice body high, I’m learning with vapes if your like me and treating chronic pain the highest temps possible are the best. Maybe more exaggerated effects but pain relief is better but so far smoking beats a vape 100% if the time. Nice thing about vapes is the crash isn’t as hard but I will say grogginess above 400 is there for awhile. I love Kong though I’m surprised Leafly has it ranked so low for pa...”"
smurfberryOG,https://www.leafly.com/hybrid/kong/reviews/1477827,"“I would say the "strain attributes" for this strain are spot on. It makes you feel relaxed and helps with pain, I have bad back issues and it helps with a good amount of the pain. I also have felt very lazy and sleepy. I smoked this out of a bubbler and it was very smooth. The actual flower was pretty dry. Overall, the high was very mellow and relaxing. I would recommend this to someone who is having a hard time slee...”"
carsond17,https://www.leafly.com/hybrid/kong/reviews/1623666,"“This strain manages even my worst pain.  It does mess me up a bit though.  It certainly isn't something I could use and go out with.”"
Caminoman,https://www.leafly.com/hybrid/kong/reviews/1637692,"“My favorite. Not always available. You can feel this one expand in your lungs. You'll be beating your chest.”"
xietypress,https://www.leafly.com/hybrid/kong/reviews/1723635,"“Pretty good for before bed, as you get super relaxed and stare at the tv til you realize you’re starving. overall 8/10 id say. Gets you baked almost instantly”"
Dankmiester420,https://www.leafly.com/hybrid/kong/reviews/1671599,"“it's an amazing Indica strain I get this all the time in bulk”"
Tallula,https://www.leafly.com/hybrid/kong/reviews/1524794,"“Swell Farmacy has one of the best strains of this in AZ. takes care of the anxiety and washes away the pain.”"
shawnc73,https://www.leafly.com/hybrid/kong/reviews/1558853,"“Picked up 1/8 from Canopi-Blue Diamond for $26. My expectations were low because of the price, but I couldn't have been more wrong!! Great night time strain for pain, insomnia, anxiety. Try it, you'll like it, especially at that price!”"
Dankmiester420,https://www.leafly.com/hybrid/kong/reviews/1671599,"“it's an amazing Indica strain I get this all the time in bulk”"
Tallula,https://www.leafly.com/hybrid/kong/reviews/1524794,"“Swell Farmacy has one of the best strains of this in AZ. takes care of the anxiety and washes away the pain.”"
shawnc73,https://www.leafly.com/hybrid/kong/reviews/1558853,"“Picked up 1/8 from Canopi-Blue Diamond for $26. My expectations were low because of the price, but I couldn't have been more wrong!! Great night time strain for pain, insomnia, anxiety. Try it, you'll like it, especially at that price!”"
monstapuss,https://www.leafly.com/hybrid/kong/reviews/1373904,"“Asked my budtender (Brandon at Swell in Phoenix) for the heaviest, most couch locking indicas. He steered me to this.  Vaped some.  Hits hard, beautiful & continues to creep. 
Very smooth. Just what I wanted. Insanely heavy body sensation while feeling weightless. Time for food & a movie. Not gettin shit done for a cpl hours😂🔥”"
dropdown710,https://www.leafly.com/hybrid/kong/reviews/1568236,"“This is  a kick ass indica, gorgeous big dense you are a 
 nug your    , I  recommend any time of day if you, Calming , relaxing, creative, couch locked if. If you love indicas get some”"
bmorejoe13,https://www.leafly.com/hybrid/kong/reviews/1359541,"“Probably my favorite bud I've smoked. Picked up an eighth from Sacred Seed for their sale bud. Looked at like 10 jars before I asked to see the Kong and it was so potent. Just a little to much stems, but any stoner knows stems don't weigh a thing on a scale. 

Oh my god this bud is dank. 

Hits you with a wave of thc then it mellows out with a buzzing head feeling. 

Very relaxing and uplifting high for how powerful ...”"
MrPancakes420,https://www.leafly.com/hybrid/kong/reviews/1254124,"“This is one of the best strains that I have ever smoked. I smoked two grams and spent fours hour on the couch in just an exceptional state of happiness.”"
jert,https://www.leafly.com/hybrid/kong/reviews/1359540,"“This helped my depression and I was finally able to sleep”"
monstapuss,https://www.leafly.com/hybrid/kong/reviews/1373904,"“Asked my budtender (Brandon at Swell in Phoenix) for the heaviest, most couch locking indicas. He steered me to this.  Vaped some.  Hits hard, beautiful & continues to creep. 
Very smooth. Just what I wanted. Insanely heavy body sensation while feeling weightless. Time for food & a movie. Not gettin shit done for a cpl hours😂🔥”"
MrPancakes420,https://www.leafly.com/hybrid/kong/reviews/1254124,"“This is one of the best strains that I have ever smoked. I smoked two grams and spent fours hour on the couch in just an exceptional state of happiness.”"
dropdown710,https://www.leafly.com/hybrid/kong/reviews/1572811,"“One of the best indica dominant hybrid strains. Is a current favorite. Covered in trichomes with massive calyxs,  smells like a skunky pine/sweetish darker green slightly purple buds with red hairs ! Do not miss out on this one.”"
bmorejoe13,https://www.leafly.com/hybrid/kong/reviews/1359541,"“Probably my favorite bud I've smoked. Picked up an eighth from Sacred Seed for their sale bud. Looked at like 10 jars before I asked to see the Kong and it was so potent. Just a little to much stems, but any stoner knows stems don't weigh a thing on a scale. 

Oh my god this bud is dank. 

Hits you with a wave of thc then it mellows out with a buzzing head feeling. 

Very relaxing and uplifting high for how powerful ...”"
patpodo420,https://www.leafly.com/hybrid/kong/reviews/1483497,"“Picked up an 8th today at Swell Farmacy Youngtown, AZ. Very smooth but heavy Indica. Rips great with s bong chokes you enough, has that bite, but not uncomfy lol like unwanted brain waves. Taste and Smells great, nice dense bugs crystals, round, hairy. Relaxing good bodyhigh hits you fast, then just slows you down after a rough day. Love it good strain!!!”"
smurfberryOG,https://www.leafly.com/hybrid/kong/reviews/1477827,"“I would say the "strain attributes" for this strain are spot on. It makes you feel relaxed and helps with pain, I have bad back issues and it helps with a good amount of the pain. I also have felt very lazy and sleepy. I smoked this out of a bubbler and it was very smooth. The actual flower was pretty dry. Overall, the high was very mellow and relaxing. I would recommend this to someone who is having a hard time slee...”"
laughingmeg,https://www.leafly.com/hybrid/kong/reviews/1410801,"“Great mix of meditative relaxation and uplifting energy. Definitely joining the favorites list.”"
markgmiller1979,https://www.leafly.com/hybrid/kong/reviews/1374729,"“One of my favorite strains, super tastey! Get's me super lit. I have only seen this strain at Swell in Youngtown. it goes on special around twice a week for $30 an eighth out the door. Can't go wrong, stop by and pick some up if you have the chance. I promise you won't be disappointed.”"
CanIHaveAHitOfThat,https://www.leafly.com/hybrid/kong/reviews/1255523,"“One of the cleanest tasting strains, even if it is a little bit peppery. The high is both head and body. The plants are so small that it isn't worth growing at home, but if you can get it at the dispensary, snatch it up!”"
Sunshinedreams,https://www.leafly.com/hybrid/kong/reviews/1225473,"“Strong relaxation effects, sleepiness as well. Great night time strain.”"
sarajackson137,https://www.leafly.com/hybrid/kong/reviews/1177754,"“Awesome high, beautiful colorful nugs... Only thing is it made me a bit sleepy and have the munchies a bit more than usual”"
MarkDogg,https://www.leafly.com/hybrid/kong/reviews/1656797,"“Kong is a nice strain i like to use at night time to relax. I would recommend it to anyone. I had it in shatter form at Az Organix in glandale az”"
highenuff,https://www.leafly.com/hybrid/kong/reviews/1502212,"“Picked up a craft vapor at The Grove due to the laws here and staying on the strip. Has a nice mellow effect and relaxing.  A good hybrid with a dominant India strain.”"
soapworks,https://www.leafly.com/hybrid/kong/reviews/1285122,"“We are getting sticky with the concentrates this week, so be aware of that situation, after going through a lot of sativa's in the past few weeks i decided it was time for the moon to rise and the stars to light up the night sky.... it started low and slow and started to fill my body i felt the heaviness slowly creep up as a heavy flow of relaxing vibes, an amazing flavour on this strain a nice sweet but woody type o...”"
allstar23,https://www.leafly.com/hybrid/kong/reviews/1353100,"“I don't have a photo that compares with what is on file already and let me tell you that it is as good as it looks folks. I got mine from my medical dispensary an it was grown right. It is nice and strong but doesn't leave me burned out.”"
KakashiHatake,https://www.leafly.com/hybrid/kong/reviews/1341956,"“This is a wonderful strain. Having had some serious stomach pains, and overall aching from a creeping virus, I was surprised at how present the high of this flower was. Kong is very elating, and it got rid of my stomach pain almost entirely. There was not much of a 'head high' to speak of, but the general euphoria and buzz you'd expect from a hybrid strain is still there. I will definitely buy this strain again.”"
soapworks,https://www.leafly.com/hybrid/kong/reviews/1285122,"“We are getting sticky with the concentrates this week, so be aware of that situation, after going through a lot of sativa's in the past few weeks i decided it was time for the moon to rise and the stars to light up the night sky.... it started low and slow and started to fill my body i felt the heaviness slowly creep up as a heavy flow of relaxing vibes, an amazing flavour on this strain a nice sweet but woody type o...”"
allstar23,https://www.leafly.com/hybrid/kong/reviews/1353100,"“I don't have a photo that compares with what is on file already and let me tell you that it is as good as it looks folks. I got mine from my medical dispensary an it was grown right. It is nice and strong but doesn't leave me burned out.”"
KakashiHatake,https://www.leafly.com/hybrid/kong/reviews/1341956,"“This is a wonderful strain. Having had some serious stomach pains, and overall aching from a creeping virus, I was surprised at how present the high of this flower was. Kong is very elating, and it got rid of my stomach pain almost entirely. There was not much of a 'head high' to speak of, but the general euphoria and buzz you'd expect from a hybrid strain is still there. I will definitely buy this strain again.”"
Ogflight2space,https://www.leafly.com/hybrid/kong/reviews/1290096,"“Really good tasty strain check it out swell farmacy youngtown Az”"
itsAllperceptions,https://www.leafly.com/hybrid/kong/reviews/1282558,"“Avicenna shatter,  nugrun run.  Good stuff,  great price.  Green sativa!”"
BurninateDabs,https://www.leafly.com/hybrid/kong/reviews/1471597,"“Oh my. Kong has me glued to my chair. It does pack wuirk”"
madmax258,https://www.leafly.com/hybrid/kong/reviews/1564451,"“With Kong my never go wrong strain,  picked up some at Arizona Organix in concentrate and was amazed by taste and quality.”"
monstermaya,https://www.leafly.com/hybrid/kong/reviews/1332525,"“Everything described as Kong is true, best indica high I've had in a while! Picked up a gram of shatter from Swell Farmacy in Phx, maaaaaad props. I smoked this last week and I'm still on my couch 😆”"
Shatdueces,https://www.leafly.com/hybrid/kong/reviews/1320952,"“Very good well rounded bud. Very tasty and has a great high. Helped a lot with back pain as well.”"
lionstrong1804,https://www.leafly.com/hybrid/kong/reviews/1358898,"“just smoked it right now and I have to say....its awesome. I have problems from my sciatic nerve so this just relieved any type of tiredness soreness or pain I had from my body. definitely worth it.”"
bigggredd,https://www.leafly.com/hybrid/kong/reviews/1375153,"“good.”"
Grim007,https://www.leafly.com/hybrid/kong/reviews/1317019,"“Mmmmm Mmmmm tasty nugs!!!”"
micahs2cool,https://www.leafly.com/hybrid/kong/reviews/1319905,"“A Deeply Sweet pineapple and mint smoke. Smooth and not intensely coughing at all. Impact on head can be intense especially when dabbing. The unset of head change is almost immediately. Definitely had moment where I had to pause and reflect to myself that I was really high. Body is very relaxed and a couple times I did feel hot and lethargic but doesn't last long. Great on pain and is a appetite stimulator completely...”"
madmax258,https://www.leafly.com/hybrid/kong/reviews/1564451,"“With Kong my never go wrong strain,  picked up some at Arizona Organix in concentrate and was amazed by taste and quality.”"
Cheftloc,https://www.leafly.com/hybrid/kong/reviews/1330306,"“Exactly how its described!!!!😏”"
MrSlfDestruct,https://www.leafly.com/hybrid/kong/reviews/1646885,"“Picked this one up as a BOGO with a different strain. Decided to try the vape pen instead of flower this time. The oil is super clear with a green tint from the deep pigment of the flowers. The smell is a bit skunky with a nice, mellow woody taste. Not hard on the chest at all and leaves you high in just a couple of puffs.”"
highenuff,https://www.leafly.com/hybrid/kong/reviews/1502212,"“Picked up a craft vapor at The Grove due to the laws here and staying on the strip. Has a nice mellow effect and relaxing.  A good hybrid with a dominant India strain.”"
highenuff,https://www.leafly.com/hybrid/kong/reviews/1505171,"“This is a great evening strain that will mellow and relax you and  may put you to sleep since its indica dominant. I like it and  compare it to Dead head with a more uplifted feel. I F*** with this!!!!”"
MarkDogg,https://www.leafly.com/hybrid/kong/reviews/1656797,"“Kong is a nice strain i like to use at night time to relax. I would recommend it to anyone. I had it in shatter form at Az Organix in glandale az”"
xNightmariNx,https://www.leafly.com/hybrid/kong/reviews/1685438,"“This is my absolute favorite strain to date. It's super smooth and totally crushes my anxiety, which in turn helps things like nausea, lack of appetite, insomnia. It's a very potent one, but you can never really smoke too much of it - I've actually tried for curiosities' sake. There's no such thing as "too high" with this strain, it's always perfect.”"
SpaceGhost28,https://www.leafly.com/hybrid/kong/reviews/1806348,"“Best strain for insomnia that I've found so far. The bud looks awesome. I got mine at CCF in Egg Harbor Twp, NJ. For me, it's a dessert topping to end a long day, so I can't give any specifics about it's effects other than I can sleep when I smoke it.”"
Staffsgt14,https://www.leafly.com/hybrid/kong/reviews/1670632,"“Hooah!!!!”"
mikesmarijuana,https://www.leafly.com/hybrid/kong/reviews/1722145,"“this strain is great for anxiety, depression, and can be used for introspective thinking but does not force that automatic "Trans" state, it can make you sleepy or hungry if used in excess but you can't really over do it with this strain. it's smell isn't overwhelming but pleasant. this is a very good strain for those seeking relief from anxiety, and depression.”"
itsAllperceptions,https://www.leafly.com/hybrid/kong/reviews/1282558,"“Avicenna shatter,  nugrun run.  Good stuff,  great price.  Green sativa!”"
soapworks,https://www.leafly.com/hybrid/kong/reviews/1285122,"“We are getting sticky with the concentrates this week, so be aware of that situation, after going through a lot of sativa's in the past few weeks i decided it was time for the moon to rise and the stars to light up the night sky.... it started low and slow and started to fill my body i felt the heaviness slowly creep up as a heavy flow of relaxing vibes, an amazing flavour on this strain a nice sweet but woody type o...”"
sarajackson137,https://www.leafly.com/hybrid/kong/reviews/1177754,"“Awesome high, beautiful colorful nugs... Only thing is it made me a bit sleepy and have the munchies a bit more than usual”"
Sunshinedreams,https://www.leafly.com/hybrid/kong/reviews/1225473,"“Strong relaxation effects, sleepiness as well. Great night time strain.”"
CanIHaveAHitOfThat,https://www.leafly.com/hybrid/kong/reviews/1255523,"“One of the cleanest tasting strains, even if it is a little bit peppery. The high is both head and body. The plants are so small that it isn't worth growing at home, but if you can get it at the dispensary, snatch it up!”"
crystal4488,https://www.leafly.com/hybrid/kong/reviews/1271248,"“This Strain is one of my favorites due to the nice earthy flavor with undertones of maybe a lavender. Gets me choked up every time because its a loud strain with a nice body high for sure.”"
lillomein,https://www.leafly.com/hybrid/kong/reviews/1329671,"“Very sleepy”"
BonnieS,https://www.leafly.com/hybrid/kong/reviews/1212271,"“This strain deserves a thousand stars. Very strong smell and it hits really hard. One hit is all you need and your stoned.”"
Ivy65,https://www.leafly.com/hybrid/kong/reviews/1463695,"“It has s nice mellow wind down that really helps me sleep.”"
RhythmicStyles,https://www.leafly.com/hybrid/kong/reviews/1337613,"“Strong. Heavy indica based. Not as tasty as it looks.”"
nakedman22,https://www.leafly.com/hybrid/kong/reviews/1370814,"“a super relaxing strain. I liked the steady body high that came with it.”"
HarryHood420,https://www.leafly.com/hybrid/kong/reviews/1312255,"“I absolutely love Kong.  It's a hybrid, but I'd assume it was a straight Indica with how sleepy and heavy it can feel sometimes.  It helps me relax and puts me right to sleep at night.”"
daddyfive,https://www.leafly.com/hybrid/kong/reviews/1315147,"“Beautiful buds. Earthy smell and taste. Smooth hitting. Very relaxed, euphonic, tingly sensation. Great body relief. Perfect for anxiety and getting loose.”"
monstermaya,https://www.leafly.com/hybrid/kong/reviews/1332525,"“Everything described as Kong is true, best indica high I've had in a while! Picked up a gram of shatter from Swell Farmacy in Phx, maaaaaad props. I smoked this last week and I'm still on my couch 😆”"
KakashiHatake,https://www.leafly.com/hybrid/kong/reviews/1341956,"“This is a wonderful strain. Having had some serious stomach pains, and overall aching from a creeping virus, I was surprised at how present the high of this flower was. Kong is very elating, and it got rid of my stomach pain almost entirely. There was not much of a 'head high' to speak of, but the general euphoria and buzz you'd expect from a hybrid strain is still there. I will definitely buy this strain again.”"
allstar23,https://www.leafly.com/hybrid/kong/reviews/1353100,"“I don't have a photo that compares with what is on file already and let me tell you that it is as good as it looks folks. I got mine from my medical dispensary an it was grown right. It is nice and strong but doesn't leave me burned out.”"
Ryanhelton,https://www.leafly.com/hybrid/kong/reviews/1281461,"“First time trying this one and it was a Great Strain to choose.”"
Ogflight2space,https://www.leafly.com/hybrid/kong/reviews/1290096,"“Really good tasty strain check it out swell farmacy youngtown Az”"
402Jay,https://www.leafly.com/hybrid/kong/reviews/1299732,"“best. ight of sleep in years!! good God this does the trick!!”"
BurninateDabs,https://www.leafly.com/hybrid/kong/reviews/1471597,"“Oh my. Kong has me glued to my chair. It does pack wuirk”"
sarajackson137,https://www.leafly.com/hybrid/kong/reviews/1177751,"“Loved the high! Really pretty and colorful nugs... Only thing is after I ate it made me super sleepy”"
Suzieisbarefoot,https://www.leafly.com/hybrid/kong/reviews/1178206,"“Very strong and great for insomnia.  I sleep blissfully with Kong in the bong before bedtime.  Fantastic strain!”"
kush123456,https://www.leafly.com/hybrid/kong/reviews/1267515,"“felt like king kong hit me in Tha chest”"
christinaphx,https://www.leafly.com/hybrid/kong/reviews/1277465,"“holy cow! hit my body very fast and my head too! I found a new favorite! I love the effects! tastes and smells delicious too! beautiful flowers!  I hope I can always get it at my disp! their farm rocks!”"
Shitty,https://www.leafly.com/hybrid/kong/reviews/1361996,"“Really nice chunky buds, strong stink from this one, great for walking around.”"
rasindu,https://www.leafly.com/hybrid/kong/reviews/1412190,"“very nice smoke!!  got some just now @THE GEEN LEAF...madd!”"
seizurerelief73,https://www.leafly.com/hybrid/kong/reviews/1242710,"“top ten strain for sure. definitely diesel stench that pleased my senses great. not a good travel med strain cuz smell has lingering effects but damn does this guy in Nebraska with epilepsy benefit from this strain. really any strain relaxed my mind enough to stay booted up and not seize out. cheaper and less harmful then seizure med I took for fifteen years with no real relief. vote yes in Nebraska for medical ease ...”"
YoungKing70,https://www.leafly.com/hybrid/kong/reviews/1199713,"“It's extremely potent, and got me to a crazy relaxed state, only negative is the end 
TASTE (diesel, pepper) but the flower is still power!!!!”"
SlanteyedShawn,https://www.leafly.com/hybrid/kong/reviews/1232763,"“This is some of the stankiest and dankiest tasting bud that I've  had the pleasure of smoking. Very heady and relaxing.”"
sativasunaz,https://www.leafly.com/hybrid/kong/reviews/1300397,"“Great for relaxing I was actually able to sit still for once  very clear headed and focused I don't feel sleepy at all. this is  some awesome stuff would defiantly  buy this strain again :)”"
domannatone,https://www.leafly.com/hybrid/kong/reviews/1338723,"“I think it has a relaxed high, sit on the couch high, makes you wanna just relax and chill for a bit”"
DenverD,https://www.leafly.com/hybrid/kong/reviews/1255218,"“Indica-dominant strain. Hairy buds, very rich in THC-rich resin. Body relaxation while your mind soars.”"
KushLife84,https://www.leafly.com/hybrid/kong/reviews/1266770,"“A good strain, nice head high. Good flavor, buds are green & frosty.”"
hadleydre,https://www.leafly.com/hybrid/kong/reviews/1365337,"“Good flower, great taste. Not sure if it leans more indica but it's definitely a nice high.”"
CatRollz1,https://www.leafly.com/hybrid/kong/reviews/1350336,"“Great taste! left my tounge a bit tingly which is always nice”"
thejanitor,https://www.leafly.com/hybrid/kong/reviews/1467040,"“Totally is worthy of the namesake. Heavy and fierce. Everyone should partake, everyone.”"
ThuGlyph69,https://www.leafly.com/hybrid/kong/reviews/1226156,"“Wow, what a bud. This stuff will knock you on your ass within moments of sparking up a bowl. The folks at Holy Smoke Seeds definitely created something genuinely awesome here with this indica dominant Hybrid strain. It hits smooth but punches hard. It's fragrance is copacetic, but the taste can be a bit rough. It's like licking some pine sap straight out of a tree.

But I definitely slept really well the 2 nights I h...”"
Grapekingkong,https://www.leafly.com/hybrid/kong/reviews/1251026,"“the odor is phonky smells like a dirty stinking ape has crawled and died in your nose. In a pleasant way. If you like those stanky skunky strains this is yours”"
willfoster2,https://www.leafly.com/hybrid/kong/reviews/1317509,"“This strain is definitely a part of the OG family. It has hints of diesel and is extremely gassy. Dense structure with a impressive trichome gallery flourish these buds if they are grown correctly. Perfect anytime weed because you get the euphoric and relaxed body high. Kong OG has made its way into my personal favorites.”"
illendent,https://www.leafly.com/hybrid/kong/reviews/1331037,"“Kong is a heavy one for sure. I'll definitely be picking this one up again for the simple fact that it can provide heavy medication without putting you to sleep. you'll feel weighed down and relaxed for sure but unless it's bed time you shouldnt have a problem staying awake! I think every smoker should give this bud a try.”"
eliminalogics,https://www.leafly.com/hybrid/kong/reviews/1359817,"“this has got to be my favorite strain. this strain has the smoothest hits I've taken. doesn't irritate your lungs at all. you also feel the effects really quick. this is a strain I'll always have on me!”"
nakedman22,https://www.leafly.com/hybrid/kong/reviews/1372750,"“A nice day time strain for those who are used to heavier strains.”"
BuddLyfe,https://www.leafly.com/hybrid/kong/reviews/1411754,"“Idk I didn't like King because its the type of leaf that makes your head spin if you hit it too hard .. I hate weeds that get me dizzy & shit .. anyways I ain't got much to say about it .. the buds are beautiful & the smell is cool but the high can be too much ..”"
FuLLY_BaKeD,https://www.leafly.com/hybrid/kong/reviews/1314678,"“I love the instant head high this strain creates”"
southeastwood,https://www.leafly.com/hybrid/kong/reviews/1263670,"“Smells good, taste is a bit harsh, loose nugs, a little goes a long way, but wears off quicker than other strains. After one hit, in less than 5 mins, effects ease in softly and quickly. Heartbeat increases at first but no anxiety. Easy to control focus. Relaxing, fun, focused, attentive.”"
