Shiva Skunk
=============
HausParty,https://www.leafly.com/indica/shiva-skunk/reviews/1417292,"“Sharp, strong smell on beautiful looking buds. Very smooth, my buddy is normally a big cougher but he didn't have any trouble ripping this. The high was surprisingly clear-headed and alert for an Indica, which I find usually puts me to sleep. We giggled and talked and brainstormed for our D&D game, then I left for a date feeling completely relaxed.

To quote my buddy on this: "I'm fucked up, but I feel like I can s...”"
passionhasredlips,https://www.leafly.com/indica/shiva-skunk/reviews/1172638,"“Not as strong as expected. I needed to keep topping up.”"
highbreezy,https://www.leafly.com/indica/shiva-skunk/reviews/1380115,"“I thought I was a skunk. I would freeze and stare at people when they crossed me in the streets and then scurry off into a bush”"
CrtaBelog,https://www.leafly.com/indica/shiva-skunk/reviews/1223664,"“Had little paranoia from this strain. Very high effect, mindblowing! Don't take too much 1st time, know your limmits... Strongest strain i ever smoked”"
consi,https://www.leafly.com/indica/shiva-skunk/reviews/1178606,"“Its one of the best strains ever”"
GabrGUt,https://www.leafly.com/indica/shiva-skunk/reviews/1146679,"“Awesome strain , loving the bodyhigh and the taste plus the skunky smell and overall really potent”"
TheBushDoctor420,https://www.leafly.com/indica/shiva-skunk/reviews/1579873,"“My favourite strain ever. The first time i smoked it i felt like the smoke i inhaled is the spirit of Shiva. Very euphoric and spiritual high.”"
Topse110,https://www.leafly.com/indica/shiva-skunk/reviews/1315060,"“Nice skunk strain for evening medication.”"
RedSkin3,https://www.leafly.com/indica/shiva-skunk/reviews/1307240,"“Really relaxing, perfect for the end of the day, maybe before sleeping... Weird strain, not so powerfull but don't understimate it. Weird high, good but weird. Very balanced but unpredictable high, long medium-low trip (almost 3 hours). Sweet flavour balanced with the typical skunky touch in the mouth, very good combination. 3.5”"
GabrGUt,https://www.leafly.com/indica/shiva-skunk/reviews/1146679,"“Awesome strain , loving the bodyhigh and the taste plus the skunky smell and overall really potent”"
CrtaBelog,https://www.leafly.com/indica/shiva-skunk/reviews/1223664,"“Had little paranoia from this strain. Very high effect, mindblowing! Don't take too much 1st time, know your limmits... Strongest strain i ever smoked”"
Harrygreens94,https://www.leafly.com/indica/shiva-skunk/reviews/1271719,"“Bedtime. Creeps up a bit and mellows out nicely.”"
NLuserpro,https://www.leafly.com/indica/shiva-skunk/reviews/1167797,"“Its not so good as you thinks think i because if i must chose from 1 to 10
Taste:6,3
Strong:6,7
Only how easy you can make it grow:8,1”"
nod,https://www.leafly.com/indica/shiva-skunk/reviews/1191950,"“really nice afternoon strain to relax with a nice sativa punch. good vibes good laughs. 4+”"
Yasuraka,https://www.leafly.com/indica/shiva-skunk/reviews/1562431,"“Calm but clear high with body relaxation.”"
freedumb88,https://www.leafly.com/indica/shiva-skunk/reviews/1311491,"“awesome anxiety killer fecking smooth peppery goodness.
I sing black keys:fever but replace it with shiva in my head all day when I smoke this.. it's quite a blast have a listen an try it out for yourself shiva Du Du dududu Du Du du”"
Hishcloud,https://www.leafly.com/indica/shiva-skunk/reviews/1606458,"“The shiva is a really great indica! With a high THC it won't take but a couple of pulls to get you relaxed and at ease. It has a great colour and strong smell which I like the most about this strain. I typically use it right before bed for I suffer from insomnia and the Shiva knocks me right out allowing me to sleep in late on the weekends which I had not done in years! thank you Shiva!”"
Thedank26,https://www.leafly.com/indica/shiva-skunk/reviews/1524191,"“This takes me back to my tenage years. Classic old school skunk taste in indica form . Great for nigjtime use. It is a good old fashioned herb. I cant say much more. Nice size nugs covered and skunk smell u can recongize immediate. For is who came of age late 90s its a treat to remember.”"
tyler074,https://www.leafly.com/indica/shiva-skunk/reviews/1221203,"“Personal favorite. A++ for chilling and relaxing.”"
Methrocks1,https://www.leafly.com/indica/shiva-skunk/reviews/1368916,"“Got 1 Fat bud of it, smoked 1/4 in my pipe and BOOM my headache dissipated! It realy tasted like chocolate and the High was amazing. I HIGHly recommend listening to Pink Floyd while smoking this strain, you can realy feel the energy in your body!”"
Toogoodnakia,https://www.leafly.com/indica/shiva-skunk/reviews/1649548,"“Very much worth your while...gives you a body and head high that is not heavy”"
danweasel17,https://www.leafly.com/indica/shiva-skunk/reviews/1063021,"“amazing strain. lucky for me i got 2 different SHIVA SKUNKS at the same place. very very good...evening medication time.”"
gatorhunts420,https://www.leafly.com/indica/shiva-skunk/reviews/1168757,"“great taste biggest bud I've grown so far but they just don't tighten up no matter what I did but awesome taste”"
tuks6,https://www.leafly.com/indica/shiva-skunk/reviews/1172659,"“Great strain. It smells very strongly like Citrus, taste is more of a sweet aftertaste. Buds are very dense with red hairs showing.”"
consi,https://www.leafly.com/indica/shiva-skunk/reviews/1178604,"“Its one of the best strain ever”"
shivaho,https://www.leafly.com/indica/shiva-skunk/reviews/1493840,"“very nice on my migraines & spasms.”"
Chepoandres88,https://www.leafly.com/indica/shiva-skunk/reviews/1622769,"“like it”"
ButteredToastASMR,https://www.leafly.com/indica/shiva-skunk/reviews/1451802,"“Strong, fruity taste that will make you go, "*tp tp tp* Mmm. That's tasty." One of the most relaxing body highs.”"
hrvoje,https://www.leafly.com/indica/shiva-skunk/reviews/1167030,"“Greaaat skunkkk”"
bigbill420,https://www.leafly.com/indica/shiva-skunk/reviews/1133611,"“Great all around skunk with a nice after taste”"
Legitti,https://www.leafly.com/indica/shiva-skunk/reviews/1257221,"“Allthough i like more sativa/hybrids, this great sativa and does exactly what it describes to.”"
mored,https://www.leafly.com/indica/shiva-skunk/reviews/1281544,"“You don't expect it to be this powerful, but then wam!!! Hits you.”"
RainbowHasj,https://www.leafly.com/indica/shiva-skunk/reviews/1304062,"“Smoking this one right now. Amazingly relaxing body high first of but also gives me that head high I look for in my buds which is not something I often get with indicas. 

I smoke a lot of powerful strains but this one hits me like a train!

The growers of this strain here in Nijmegen, Netherlands should also be applauded. Beautiful compact buds.

I think I have a new favorite strain!”"
NL7,https://www.leafly.com/indica/shiva-skunk/reviews/1736100,"“really nice strain. gives u an up liftin feeling but da high will take its time to hit u and if u smoke enuff u wuld feel couch lock/sleepy. 9.5/10”"
lliwill,https://www.leafly.com/indica/shiva-skunk/reviews/1063024,"“Very nice strain, of the pickup I made that day, it was noticeably the most potent.  I experienced a fairly heavy haze in my head and behind my eyes, but never felt as powerful as a heavier Indica.  I would highly recommend it!”"
Carolito,https://www.leafly.com/indica/shiva-skunk/reviews/1381320,"“Muy buena skunk. Fácil de cultivar, pero cuidado con los olores. Efectos típicos de una indica.”"
jbonephilly,https://www.leafly.com/indica/shiva-skunk/reviews/1163599,"“potent...smoked and vaped this good shit and found myself getting "stuck" after every use very helpful for my pain and anxiety i would smoke this err day if i could😊😊😊😊”"
tschindari,https://www.leafly.com/indica/shiva-skunk/reviews/1604575,"“Really awesome strain. I like how it tastes sweet and smokes very soft. first alertness that was followed by a heavy blanket. couchlock af lol”"
Chepoandres88,https://www.leafly.com/indica/shiva-skunk/reviews/1622972,"“It made me sleepy and made me feel good”"
gatorhunts420,https://www.leafly.com/indica/shiva-skunk/reviews/1163182,"“good growing huge buds huge but not so dense great tasting smoke especially after the cure like a citrus chocolate yummy intense high for like 45min then mellows out. ..west mi rocks. CDXX”"
Anonymous,https://www.leafly.com/indica/shiva-skunk/reviews/1063005,"“Very tasty”"
ErrorNXcellence,https://www.leafly.com/indica/shiva-skunk/reviews/1755758,"“Overall great strain for sleep so anyone with insomnia I would recommend”"
W.e.e.d.M.a.n420,https://www.leafly.com/indica/shiva-skunk/reviews/1704497,"“1. Full blown!
2. I can't move
3. Tweaked 
4. Can't talk
5. Eyes are heavy 
6. Get u Some!!!!!”"
ohmie221,https://www.leafly.com/indica/shiva-skunk/reviews/1635145,"“This strain was incredibly smooth with a very relaxing and euphoric effect. A little different from most indica strains I've had, even though there is a slight couch lock I still feel like I could get things accomplished.”"
Ultimate86Man,https://www.leafly.com/indica/shiva-skunk/reviews/1773713,"“Shiva skunk is a tribute bud to the God of meditation and does live up to being a God Bud variant! The high starts out like a Sativa you think you have been tricked, what a contradiction! But the second part of your bowl will leave you begging for sleep! I found this God bud at WA dispensary, as all God, Goddess, Jesus, Buddha, and Magic type buds are the strength of an illegal drug, I did find Shiva Skunk to live up...”"
floatingwonderland,https://www.leafly.com/indica/shiva-skunk/reviews/1581895,"“My favorite! only one that doesn't give me paranoia, completely calms me without feeling stoned and can actually function on it. Really happy I found this. only thing is that it does give you the munchies.”"
illuminutteh,https://www.leafly.com/indica/shiva-skunk/reviews/1142292,"“This is some of the best indica I have ever smoked. If you have insomnia, smoke a joint of this and you will sleep and have nice dreams. =^-.-^=”"
consi,https://www.leafly.com/indica/shiva-skunk/reviews/1178603,"“Its one of the best strains ever”"
GrimzReapy,https://www.leafly.com/indica/shiva-skunk/reviews/1182508,"“Best weed I ever had!”"
JiggyAlienEyes,https://www.leafly.com/indica/shiva-skunk/reviews/1226340,"“This is actually more uplifting than I thought it would be. I feel very calm and almost tingly, yet happy. I really enjoy this in the evening”"
cascadianmass,https://www.leafly.com/indica/shiva-skunk/reviews/1189378,"“Sweet, Flavorful and Tropical with a skunky odor. With a light, summertime high; this marijuana strain is great for a walk on the beach, or possibly a day at the river!”"
siskos,https://www.leafly.com/indica/shiva-skunk/reviews/1378695,"“great feeling great strain”"
brewslee25,https://www.leafly.com/indica/shiva-skunk/reviews/1142168,"“Best herb to medicate. Best in the afternoon if you're a noob. This strain is extremely pungent and resinous. Make sure to brake your blunt before your skunk. Trust me on this one.”"
mickey2085,https://www.leafly.com/indica/shiva-skunk/reviews/1327799,"“Unique taste, tiny dense nugs mellow high.  Typical social strain.”"
