Zkittlez
=============
John18,https://www.leafly.com/indica/zkittlez/reviews/1413831,"“Thank you for the investment of your time. I will try not to waste it.
Visual Inspections:
Various shades of green, with slight purple, but most striking is the OFF THE CHARTS thick coat of white crystalline structures throughout the buds, all the way down the stalks. The bud structure is more like a sativa or a hybrid, with the largest cola approximately 6"x2", in the ounce, but most buds 2" to 3" size.

The Nose:
AnnieSmokes95,https://www.leafly.com/indica/zkittlez/reviews/1806086,"“Used in oil form. 100% tasted like skittles! The reason for the 3 stars is the fact that this strain drained me completely every time I smoked it... major couch lock.”"
BigVin83,https://www.leafly.com/indica/zkittlez/reviews/1780423,"“12/10 on all counts for me, this strain killed it with the flavour,smell,hit And just overall look and enjoyabilty were 👌 all in all..... I'm gonna try get me some more asap!! battered with trichs doesn't come close”"
tcsam12,https://www.leafly.com/indica/zkittlez/reviews/1761103,"“This is one of my favorites! It relaxes my entire body and immediately slows down my heart rate if I’m feeling anxious. My mind is still active but calm and I don’t feel like I’m about to go into a coma which is how a lot of indicas make me feel and I don’t like that. Doesn’t make me too hungry but I’ll still munch on some things. I remember when I first smoked it I couldn’t really taste the sweet candy flavor, but a...”"
michaelwilliam90,https://www.leafly.com/indica/zkittlez/reviews/1742426,"“Love this strain, I like this one for at night before bed when all you have left to do is chill and relax”"
hazefordayz,https://www.leafly.com/indica/zkittlez/reviews/1466298,"“Overrated over-hyped strain. The taste is fairly nice, and the smell is beautiful, but the effects are pretty sub standard for an indica. It's very nice looking weed, but I don't buy weed to look at, I buy it to smoke and it falls short there.”"
Freedmom17,https://www.leafly.com/indica/zkittlez/reviews/1525015,"“Relaxing for me and helps me with getting ready for bed and then I have to take a super stronger indica for my high tolerance and pain and nausea. Awesome 😎”"
gloriav1916,https://www.leafly.com/indica/zkittlez/reviews/1519647,"“The body High is amazing. With just enough of that sativa giggly high to come and go. The flavor is definitely a mouth watering kind”"
TwelveGage,https://www.leafly.com/indica/zkittlez/reviews/1250124,"“Just got a batch of some concentrate. Very nice stuff. Definitely not overwhelming, but it's exactly what you are looking for with the indica experience. Full body relaxation and no pain to be had. 

When I get the temp right on my nail the flavor is just super sweet and very apparent. One of the more distinguished berry/candy flavors I've had.”"
TyDye420420,https://www.leafly.com/indica/zkittlez/reviews/1683147,"“This strain knocked me out”"
Freedmom17,https://www.leafly.com/indica/zkittlez/reviews/1525015,"“Relaxing for me and helps me with getting ready for bed and then I have to take a super stronger indica for my high tolerance and pain and nausea. Awesome 😎”"
gloriav1916,https://www.leafly.com/indica/zkittlez/reviews/1519647,"“The body High is amazing. With just enough of that sativa giggly high to come and go. The flavor is definitely a mouth watering kind”"
TwelveGage,https://www.leafly.com/indica/zkittlez/reviews/1250124,"“Just got a batch of some concentrate. Very nice stuff. Definitely not overwhelming, but it's exactly what you are looking for with the indica experience. Full body relaxation and no pain to be had. 

When I get the temp right on my nail the flavor is just super sweet and very apparent. One of the more distinguished berry/candy flavors I've had.”"
SayNoToBullshit,https://www.leafly.com/indica/zkittlez/reviews/1696416,"“Smells and tastes like cheetoh powder, not like Sour candy at all.  Not sure why they name it this.  Purchased from Reef Mmj so it HAS to be legit and clean, right?  Lol what a joke..  Enjoy your dirty wack weed AZ, and the mental state it's causing.”"
berry35,https://www.leafly.com/indica/zkittlez/reviews/1389867,"“I got a free gram of top shelf or private reserve Zkittles from a local dispensary. This took away lots of body pain immediately, made me feel like I was floating. Brushing my teeth was awesome. Cottonmouth, dry eyes. I was still shaky from anxiety in the first 20 minutes of being high. Would smoke a few hours before bed, not immediately before bed. Able to focus and probably could be productive on zkittles. Smells a...”"
andalemom,https://www.leafly.com/indica/zkittlez/reviews/1357297,"“Beautiful, dense flower that almost makes your mouth water. Every hit is super smooth; leaving a long-lasting, wonderful, fruity flavor. Nice and heady, and that flavor is to die for!”"
jualkeen,https://www.leafly.com/indica/zkittlez/reviews/1578467,"“super dank bud it tastes very fruity and smells like a bag of skittles. HIGHLY recommended if you can get any.”"
BigVin83,https://www.leafly.com/indica/zkittlez/reviews/1780423,"“12/10 on all counts for me, this strain killed it with the flavour,smell,hit And just overall look and enjoyabilty were 👌 all in all..... I'm gonna try get me some more asap!! battered with trichs doesn't come close”"
andalemom,https://www.leafly.com/indica/zkittlez/reviews/1357297,"“Beautiful, dense flower that almost makes your mouth water. Every hit is super smooth; leaving a long-lasting, wonderful, fruity flavor. Nice and heady, and that flavor is to die for!”"
SayNoToBullshit,https://www.leafly.com/indica/zkittlez/reviews/1696416,"“Smells and tastes like cheetoh powder, not like Sour candy at all.  Not sure why they name it this.  Purchased from Reef Mmj so it HAS to be legit and clean, right?  Lol what a joke..  Enjoy your dirty wack weed AZ, and the mental state it's causing.”"
elibaker97,https://www.leafly.com/indica/zkittlez/reviews/1212691,"“This strain tastes and smells like skittles, and will make you see literal rainbows from time to time! Very light colored bus that are coated in THC crystals, as well as a blanket of curly orange hairs. The high was extremely body centered but also very heavy in the head. The high lasts about 4 hours and is almost like a small psychedelic trip :) Even though this is a heavy indica, my sativa-loving friends will not b...”"
DonTheBarber,https://www.leafly.com/indica/zkittlez/reviews/1491300,"“Feel like im in a jacuzzi 🌊”"
LJ0666,https://www.leafly.com/indica/zkittlez/reviews/1509834,"“It's not often you find a bud that tastes exactly the same at the sweet... ladies and gentlemen here you have it.

buds small and dusty light green with  small pale orange hairs. 

smokes beautifully earthly plenty of fruity tones.

a really strong giggly high into a deep relaxing stoned.

personally it put it in my top 5”"
Ben2D,https://www.leafly.com/indica/zkittlez/reviews/1464340,"“I've now tried Zkittlez in a couple of different flower grows as well as some concentrates. I can say with certainty that this is one of my favorite all time strains. It gives a very relaxed head space that encourages positivity in thoughts and actions. The body high it gives is like almost nothing else I've experienced. Blueberry is a strain that comes to mind that comes close. The combination of relaxation and body...”"
UniverseAccordingtoRob,https://www.leafly.com/indica/zkittlez/reviews/1772448,"“This strain expresses itself subtlety within the mind-stream of an experienced meditator. They helped this yogin-lay monk effectively in deity and mandala visualizations; induced a serene, gentle abiding conducive to shamatha-vipaśyanā practice, imbibing  a “soft” glowing awareness for hours, tapering off gently and gradually. Leaves a sublime sense of grounded bliss and equanimity; soothes the chakras, leaving one f...”"
BigVin83,https://www.leafly.com/indica/zkittlez/reviews/1780423,"“12/10 on all counts for me, this strain killed it with the flavour,smell,hit And just overall look and enjoyabilty were 👌 all in all..... I'm gonna try get me some more asap!! battered with trichs doesn't come close”"
elibaker97,https://www.leafly.com/indica/zkittlez/reviews/1212691,"“This strain tastes and smells like skittles, and will make you see literal rainbows from time to time! Very light colored bus that are coated in THC crystals, as well as a blanket of curly orange hairs. The high was extremely body centered but also very heavy in the head. The high lasts about 4 hours and is almost like a small psychedelic trip :) Even though this is a heavy indica, my sativa-loving friends will not b...”"
Sagarp91,https://www.leafly.com/indica/zkittlez/reviews/1798771,"“One of my favourites tastes awesome delivered exactly as described”"
jualkeen,https://www.leafly.com/indica/zkittlez/reviews/1578467,"“super dank bud it tastes very fruity and smells like a bag of skittles. HIGHLY recommended if you can get any.”"
DonTheBarber,https://www.leafly.com/indica/zkittlez/reviews/1491300,"“Feel like im in a jacuzzi 🌊”"
SayNoToBullshit,https://www.leafly.com/indica/zkittlez/reviews/1696416,"“Smells and tastes like cheetoh powder, not like Sour candy at all.  Not sure why they name it this.  Purchased from Reef Mmj so it HAS to be legit and clean, right?  Lol what a joke..  Enjoy your dirty wack weed AZ, and the mental state it's causing.”"
Didi223,https://www.leafly.com/indica/zkittlez/reviews/1389422,"“lulu”"
TyDye420420,https://www.leafly.com/indica/zkittlez/reviews/1683147,"“This strain knocked me out”"
skylar00,https://www.leafly.com/indica/zkittlez/reviews/1738798,"“I am almost done with this blunt, and I bought a Quarter of this strain. I haven noticed that it may make your throat scratchy. I love how relaxed it makes me feel. I feel like this strain is perfect for people who have Depression, ADHD, and PTSD. It helps calm your self down. So I give this strain a 10/10!!!”"
cherrydog,https://www.leafly.com/indica/zkittlez/reviews/1522208,"“let me start by saying I personally know the grower who won the 2016 golden tarp award and the 2016 emerald cup for his  zkittlez flower. I smoked my first zkittlez from his personal stash from that grow.  in the 2017 season I grew 3 plants from clones given to me by him.  

bag appeal is a 2 maybe 3. the plant produces a large amount of small golf ball nugs that are covered in tricombs. I live at a higher altitude a...”"
terezforgues,https://www.leafly.com/indica/zkittlez/reviews/1571993,"“The euphoria from this strain is just the best! I just found myself giggling. And as an added bonus, it takes away my pain.”"
Hoops86,https://www.leafly.com/indica/zkittlez/reviews/1647849,"“Created an account just to review this strain.

One word...Insane!! 

I’ve smoked all kinds of amazing bud in my time but in my 32 years nothing has come close to Zkittlez! 

From the instant you smell it you fall in love! When you grind it even more in love! When you smoke it...you’re ready to marry the bitch!!!

Every puff is a burst of smooth fruity awesomeness that lingers in your mouth! I was shocked it’s an ind...”"
greyghost7,https://www.leafly.com/indica/zkittlez/reviews/1637743,"“Probably one of my favorite strains, i am an indica guy and this is very indica dominant. You have a few burst of sativa affects but that seems to subside rather quickly. This weed makes me happy, hungry and horny. (HHH) Smoking this out of a clean bong will give you tropical skittles kind of flavor which is really nice. It's a good smoke anytime of the day, it keeps you clear headed, but can also be used to fall asl...”"
yungcloutmaster,https://www.leafly.com/indica/zkittlez/reviews/1651348,"“Such a nice high, great taste on it, super relaxing. Made my eyelids very heavy and ive been smoking on this for about 4 days straight and it hasnt gotten old. Amazing taste, amazing high, and an amazing strain. Would recommend to anyone trying to relax, sometimes gives me a euphoric feeling, great highs.”"
GothicLucien,https://www.leafly.com/indica/zkittlez/reviews/1521633,"“Absolutely fantastic strain. I have bad back pain from a pinched sciatic nerve and this strain deff helps anytime of day great indica strain! Very uplifting”"
Freedmom17,https://www.leafly.com/indica/zkittlez/reviews/1538581,"“My very favorite!! Smells amazing and then it’s not the strongest but I get really relaxed and then I mix some with something potent for my chronic pain and nausea  
NOW I CANNOT FIND IT ANYMORE ☹️ it sells out quickly so grab it when you have a chance”"
mdaniel,https://www.leafly.com/indica/zkittlez/reviews/1732259,"“love this strain helped me with pain and slept great.”"
LJ0666,https://www.leafly.com/indica/zkittlez/reviews/1509839,"“WAIT THIS REALLY TASTES LIKE SKITTLES! (gf upon first puff)

small pale green dusty bud with small orange hairs

grinds easy, smells fantastic and looks very power

tastes fruity, earthly and just like the cady

very nice giggly head high leads to some serious snacking (be warned) 

one of my personal top 5 best”"
Clapback24,https://www.leafly.com/indica/zkittlez/reviews/1797368,"“Surprisingly does taste like skittles. More importantly, this indica does the trick. Hitting this at night time will make for a relaxing, restful sleep (and I do recommend for nighttime by yourself of a close companion).  Just a few hits from my cartridge has all of my pain and worries wiped right away. Too many hits will make you visibly stoned and anti social. I remember the very first hit I was blown away by the f...”"
normingtontj,https://www.leafly.com/indica/zkittlez/reviews/1522505,"“Couple hits of a. 90% THC oil cartridge before bed was perfect. Very relaxing high, I am looking forward to enjoying it tomorrow during the day-time to see how it affects me when I’m not pre-disposed to being tired.”"
chicagoflower,https://www.leafly.com/indica/zkittlez/reviews/1606052,"“Everything you read is true about this strain.
Lemon smell and great taste.  And eyes tightened”"
MountainPuff,https://www.leafly.com/indica/zkittlez/reviews/1590859,"“Picked up a gram from Green Pharms in Flagstaff, AZ.  Sweet, berry clean aroma and hand ground SUPER easy - real nice smooth inhale... mildly spikes harsh exhales on ripper hits.  Works a slow creep chill throughout your body and juices your mind to a fulfilled, euphoric state.  Great for pain, funky mood, restlessness and boredom.  This strain literally melts the blues away and spikes relaxing mindfulness.  Would ma...”"
Foliculitis,https://www.leafly.com/indica/zkittlez/reviews/1748840,"“Loved it, great for relaxation, and pain reliever.
For all you suffering from chronic foliculitis decalvans,  try it, it really helps. The pain is still there tho it becomes tolerable.”"
AcceptChange1,https://www.leafly.com/indica/zkittlez/reviews/1744181,"“(Extracted) Looking to be at ease, uplifted, and focused on a project? Take about 2 hits.”"
davidh219,https://www.leafly.com/indica/zkittlez/reviews/1493058,"“I didn't find the high to be anything extraordinary, pretty meh on that front. The smell though is absolutely ridiculous. I've never had bud that smelled as strongly as this, and smelled so clearly like something else. It reeks grapefruit odor at a supernatural level of strength. Even through multiple plastic bags, the entire room smells like grapefuit! It's insane. It's not even a bad smell but goddamn, I don't need...”"
OGPothead71292,https://www.leafly.com/indica/zkittlez/reviews/1795103,"“The strain I sampled from Mr NiceGuy Veneta wasn’t anything like this description. The only smell you get is cilantro. The taste is overwhelming. It doesn’t get you high, doesn’t have any of the indica effects that these reviews and information seem to suggest it should have.”"
Samemch602,https://www.leafly.com/indica/zkittlez/reviews/1803910,"“yes! new fave indica strain! at first it made me super giggly and pure happy.  then it relaxed my whole body. then it relaxed my mind. I had the best sleep ever and even slept in a bit which I can NEVER do!”"
Cynn614,https://www.leafly.com/indica/zkittlez/reviews/1749077,"“I must say this strain had me all the way fucked up last night .....”"
riza78,https://www.leafly.com/indica/zkittlez/reviews/1569539,"“All about that taste. Sweet and morish”"
zacgeo,https://www.leafly.com/indica/zkittlez/reviews/1552754,"“Great for relaxation”"
Annese94,https://www.leafly.com/indica/zkittlez/reviews/1717669,"“My favorite flavor out of them all. The affects are great. Help me get to sleep faster”"
AnonymousHamster,https://www.leafly.com/indica/zkittlez/reviews/1764877,"“I have to give it 3 stars right off the bat just for the beautiful smell! When I opened the bag it was just the most wonderful aromatic weed I've tried. I have to drop it a star because I don't like being hungry. Trying to lose weight haha. But I understand some people need it to get hungry. It is definitely a body high, I feel really relaxed and it made working out easier. When I'm going to go to bed it definitely p...”"
zacgeo,https://www.leafly.com/indica/zkittlez/reviews/1552754,"“Great for relaxation”"
theORherb,https://www.leafly.com/indica/zkittlez/reviews/1628609,"“It has a great sweet aroma, it also has a nice grape flavor to it. It made me relaxed and happy, I really like it in the evening. I'd get it again!”"
Annese94,https://www.leafly.com/indica/zkittlez/reviews/1717669,"“My favorite flavor out of them all. The affects are great. Help me get to sleep faster”"
AnonymousHamster,https://www.leafly.com/indica/zkittlez/reviews/1764877,"“I have to give it 3 stars right off the bat just for the beautiful smell! When I opened the bag it was just the most wonderful aromatic weed I've tried. I have to drop it a star because I don't like being hungry. Trying to lose weight haha. But I understand some people need it to get hungry. It is definitely a body high, I feel really relaxed and it made working out easier. When I'm going to go to bed it definitely p...”"
davvify,https://www.leafly.com/indica/zkittlez/reviews/1718024,"“Unequivocally the best strain I have ever tried, plain and simple. True to its name, the overwhelming flavor of candy inspires a powerful and bright sense of nostalgia. While other strains have a tendency to be "peaky", Zkittles is characterized by a consistent and reliable smoothness that moves through you long after any conscious need to refresh it. There is a particularly effective nature to anyone who is in need ...”"
Chrizko3,https://www.leafly.com/indica/zkittlez/reviews/1752892,"“Head blast at first.. then hits ya body pretty quick with the couch lock leaving you with a deep mf relaxation. Pretty damn good”"
SirSparky,https://www.leafly.com/indica/zkittlez/reviews/1542071,"“Soooooo uplifting!! Taste is sweet with a mildly sour/earthy aftertaste. Buds are sticky and on the smaller side. Smell is crazy good; Blueberries and lemon zest. More balanced than indica at first. Creeps up for a period of 2-3 minutes with a blasting head high and subtle relaxation that strengthens as the head high simmers down. A bit spacey at this point, mild thought echo and dry mouth.very relaxing and euphoric....”"
CannabisHead501st,https://www.leafly.com/indica/zkittlez/reviews/1791504,"“This strain just smells superb.  And with a lineage of Grape Ape you know you're inn for a relaxing night.  Picked up 1/4 of zip at 50 bucks with comps from my local cannabis smoke shop.  For an Indica dominant hybrid it's got that Sativa kick which elevates you off the first hit and then comes"right between your eyes."   Flavor is just about as good as it gets with the soft exhale grape nodes which gently reminds yo...”"
thegreenphoenixOG,https://www.leafly.com/indica/zkittlez/reviews/1718678,"“This strain will surprise you in a good way. There are many other types of strains out there that have higher THC levels, but this strain stands out above them. This strain educated me to look at other characteristics, like taste and effect. This strain has both a great level happy high and taste just like those childhood candies. So go roll a J or burn a bowl...But you don’t have to take my word for it.”"
